FIPS,State,Perc.Fair.Poor.Health,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,Perc.Low.Birth.Weight,Perc.Smokers,Perc.Obese,Perc.Physically.Inactive,Perc.Excessive.Drinking,MV.Mortality.Rate,Chlamydia.Rate,Teen.Birth.Rate,Perc.Uninsured,Pr.Care.Physician.Ratio,Dentist.Ratio,Prev.Hosp.Stay.Rate,Perc.Diabetic.Screening,Perc.Mammography,Perc.High.School.Grad,Perc.Some.College,Perc.Unemployed,Perc.Children.in.Poverty,Perc.No.Soc.Emo.Support,Perc.Single.Parent.HH,Violent.Crime.Rate,Avg.Daily.Particulates,Perc.pop.in.viol,Rec.Facility.Rate,Perc.Limited.Access,Perc.Fast.Foods
1029,0,19.0,5.5,4.5,7.9,18.0,30,34,9.0,24.0,220.0,58.0,18,7489.0,3799.0,92.0,79.0,50.3,92.0,43.0,8.3,26,25.0,30,293.0,13.0,0.0,0.0,1,64.0
1031,0,19.0,3.4,3.8,9.2,19.0,32,29,12.0,24.0,623.0,49.0,18,2280.0,3172.0,95.0,84.0,70.2,84.0,58.7,7.1,24,23.0,37,341.0,11.7,0.0,10.0,7,51.0
1033,0,24.0,4.7,4.5,11.0,30.0,33,35,10.0,21.0,498.0,55.0,15,1651.0,3053.0,70.0,90.0,65.0,75.0,55.0,9.0,28,21.0,33,439.0,13.2,5.0,9.2,5,55.0
1037,0,22.0,3.5,3.9,11.7,21.0,34,35,13.0,34.0,477.0,48.0,17,1145.0,3799.0,100.0,85.0,62.6,47.0,32.3,10.6,36,23.0,39,230.0,13.5,0.0,0.0,7,52.0
1043,0,22.0,4.1,4.5,9.3,25.0,32,29,10.0,33.0,214.0,57.0,19,1749.0,2630.0,65.0,88.0,71.2,77.0,49.0,8.1,28,17.0,24,187.0,13.0,0.0,6.2,3,52.0
1045,0,24.0,5.1,4.0,8.4,24.0,36,31,15.0,21.0,444.0,53.0,15,3595.0,3417.0,79.0,84.0,68.1,76.0,62.3,8.3,28,17.0,30,391.0,11.7,0.0,4.0,10,52.0
1047,0,26.0,4.0,3.7,12.6,21.0,41,34,11.0,27.0,1264.0,77.0,16,1824.0,4052.0,85.0,70.0,65.3,71.0,44.2,16.2,50,33.0,59,750.0,13.2,0.0,2.3,12,54.0
1049,0,21.0,4.7,5.2,8.9,17.0,34,28,10.0,25.0,179.0,64.0,24,3232.0,4793.0,95.0,88.0,61.3,86.0,39.4,11.2,30,26.0,31,126.0,13.0,0.0,5.6,2,56.0
1051,0,18.0,4.1,3.7,9.0,21.0,32,32,10.0,26.0,478.0,44.0,14,3460.0,7733.0,84.0,84.0,69.0,74.0,55.0,8.3,21,15.0,30,143.0,13.2,0.0,6.3,7,42.0
1053,0,26.0,5.0,4.8,10.8,21.0,36,38,7.0,37.0,446.0,71.0,20,1823.0,3191.0,130.0,75.0,61.8,76.0,43.7,10.5,32,21.0,50,516.0,11.9,0.0,5.2,8,56.0
1055,0,23.0,5.0,4.5,9.1,27.0,32,34,11.0,21.0,545.0,56.0,18,1411.0,2477.0,92.0,85.0,58.2,75.0,55.9,9.1,30,25.0,34,401.0,13.0,0.0,6.7,9,61.0
1057,0,31.0,6.7,5.5,9.6,17.0,37,33,4.0,42.0,302.0,50.0,17,2464.0,2923.0,79.0,83.0,63.1,83.0,39.6,10.4,33,28.0,34,134.0,13.3,0.0,0.0,1,67.0
1059,0,22.0,4.0,3.9,9.0,21.0,31,37,4.0,30.0,202.0,69.0,23,2114.0,3999.0,113.0,89.0,56.4,85.0,42.4,9.4,33,24.0,31,241.0,12.9,0.0,15.8,4,49.0
1061,0,27.0,4.1,3.3,8.8,21.0,36,35,12.0,33.0,433.0,53.0,20,5365.0,2705.0,108.0,87.0,63.5,76.0,51.5,8.3,42,24.0,42,323.0,11.4,0.0,0.0,1,60.0
1063,0,20.0,4.0,5.0,15.3,21.0,48,38,11.0,33.0,1238.0,56.0,18,3001.0,9050.0,133.0,79.0,50.6,66.0,36.4,14.2,47,23.0,55,1143.0,13.9,0.0,0.0,21,25.0
1065,0,23.0,4.4,4.1,13.0,21.0,44,36,8.0,43.0,1326.0,46.0,17,1573.0,8035.0,99.0,72.0,59.7,67.0,39.8,12.0,41,23.0,52,438.0,13.8,49.0,0.0,0,50.0
1069,0,21.0,4.4,4.3,8.5,19.0,33,33,12.0,17.0,750.0,56.0,17,1288.0,1810.0,63.0,86.0,68.1,71.0,52.4,8.1,29,20.0,41,538.0,11.2,0.0,4.9,7,53.0
1071,0,27.0,5.6,5.5,8.9,27.0,31,30,8.0,35.0,154.0,53.0,19,1969.0,3584.0,126.0,84.0,55.9,80.0,47.4,8.7,25,22.0,26,243.0,13.3,0.0,1.9,4,56.0
1073,0,17.0,3.6,3.8,11.6,21.0,32,29,15.0,18.0,800.0,49.0,16,1028.0,1465.0,56.0,85.0,69.4,73.0,64.7,8.7,27,23.0,42,727.0,13.3,0.0,10.5,11,60.0
1075,0,27.0,4.0,5.4,9.0,21.0,32,36,11.0,29.0,295.0,58.0,17,4840.0,4912.0,113.0,79.0,61.3,72.0,41.9,9.9,31,22.0,36,56.0,13.2,0.0,0.0,0,31.0
1077,0,21.0,4.9,3.7,10.1,19.0,32,33,4.0,18.0,478.0,37.0,15,1972.0,2102.0,66.0,88.0,66.2,81.0,55.5,8.3,24,19.0,31,204.0,13.4,0.0,7.5,6,49.0
1079,0,21.0,3.7,4.4,10.1,26.0,38,36,5.0,33.0,402.0,51.0,19,5721.0,1727.0,103.0,83.0,61.7,79.0,46.6,10.1,27,25.0,32,198.0,13.0,7.0,2.9,2,51.0
1081,0,19.0,3.6,4.9,8.0,20.0,30,27,19.0,15.0,501.0,25.0,16,2070.0,3457.0,58.0,84.0,63.4,87.0,64.6,7.4,21,17.0,32,320.0,13.0,0.0,5.0,11,54.0
1083,0,20.0,3.8,3.3,9.6,22.0,31,31,10.0,24.0,268.0,49.0,17,3963.0,3915.0,76.0,89.0,69.7,82.0,53.0,7.6,21,25.0,27,118.0,13.3,0.0,6.0,4,52.0
1085,0,33.0,4.8,4.7,12.9,22.0,45,38,18.0,45.0,903.0,65.0,17,1127.0,1136.0,66.0,84.0,63.9,60.0,42.2,16.6,40,35.0,56,527.0,12.9,0.0,8.9,26,67.0
1087,0,25.0,3.6,2.4,11.4,13.0,41,31,11.0,33.0,1040.0,35.0,16,4307.0,4661.0,51.0,83.0,59.7,86.0,50.9,12.5,43,19.0,61,813.0,12.8,0.0,0.0,19,81.0
1091,0,24.0,4.5,3.7,12.4,15.0,40,35,15.0,27.0,666.0,51.0,17,2997.0,4246.0,104.0,76.0,51.6,87.0,50.0,11.8,34,23.0,40,513.0,13.3,45.0,9.5,15,59.0
1097,0,22.0,4.4,4.5,11.9,24.0,32,31,15.0,23.0,785.0,59.0,19,1714.0,2245.0,72.0,83.0,64.1,64.0,55.9,10.1,30,24.0,44,612.0,11.8,0.0,6.8,11,55.0
1099,0,24.0,4.8,4.2,15.1,21.0,36,32,15.0,40.0,663.0,58.0,18,2873.0,4643.0,97.0,79.0,65.4,79.0,37.7,15.3,42,24.0,51,534.0,12.4,8.0,0.0,17,60.0
1101,0,20.0,3.9,3.6,11.7,19.0,34,30,15.0,15.0,1175.0,59.0,16,1184.0,1782.0,59.0,84.0,67.8,66.0,60.5,9.1,34,22.0,50,406.0,12.8,0.0,7.4,11,54.0
1103,0,14.0,4.1,3.8,9.2,25.0,33,27,10.0,23.0,433.0,52.0,19,1785.0,2213.0,95.0,84.0,68.5,71.0,55.2,8.7,27,27.0,31,250.0,12.9,0.0,5.9,4,60.0
1105,0,27.0,5.6,3.5,12.8,20.0,40,35,15.0,38.0,954.0,54.0,17,2635.0,3754.0,82.0,74.0,56.8,87.0,40.4,16.4,47,23.0,59,622.0,13.6,0.0,0.0,6,22.0
1115,0,19.0,3.9,4.0,8.7,26.0,36,35,11.0,24.0,577.0,50.0,15,4191.0,4290.0,85.0,83.0,65.0,76.0,48.9,8.3,25,22.0,29,182.0,13.1,0.0,2.4,1,50.0
1117,0,13.0,3.3,3.6,8.5,19.0,28,24,12.0,16.0,191.0,26.0,12,1172.0,2088.0,57.0,85.0,75.0,86.0,74.1,6.3,12,20.0,19,156.0,13.4,0.0,10.7,4,46.0
1119,0,25.0,4.1,4.2,13.6,16.0,42,33,14.0,32.0,1075.0,34.0,19,2293.0,7238.0,64.0,84.0,67.0,80.0,50.4,14.5,46,23.0,61,378.0,13.6,0.0,7.3,11,54.0
1121,0,29.0,5.3,5.1,12.7,23.0,37,35,10.0,24.0,514.0,55.0,16,3154.0,5323.0,101.0,81.0,57.3,74.0,46.2,10.3,35,28.0,39,370.0,13.2,0.0,2.4,6,53.0
1123,0,23.0,4.8,5.2,12.0,29.0,37,31,14.0,23.0,428.0,59.0,17,2595.0,3239.0,80.0,76.0,64.8,77.0,48.1,11.5,30,32.0,34,539.0,13.3,4.0,7.2,5,51.0
1125,0,17.0,4.3,4.3,11.6,22.0,35,29,12.0,19.0,620.0,31.0,18,1455.0,2257.0,88.0,87.0,72.8,67.0,61.2,8.2,27,18.0,37,447.0,13.6,0.0,6.7,7,60.0
1127,0,33.0,6.1,5.6,10.2,28.0,35,38,7.0,37.0,388.0,59.0,17,2093.0,2827.0,83.0,87.0,63.3,77.0,50.8,9.5,30,23.0,29,212.0,13.2,0.0,7.5,4,54.0
1131,0,29.0,4.1,4.9,12.9,21.0,43,35,11.0,47.0,1071.0,52.0,18,2320.0,5855.0,71.0,73.0,47.9,72.0,34.4,19.3,51,23.0,69,193.0,12.9,0.0,0.0,28,44.0
2050,1,20.0,3.5,2.8,5.5,31.0,30,28,17.0,17.0,2445.0,78.0,28,1069.0,2329.0,132.0,33.0,56.0,42.0,41.5,14.7,30,48.0,30,732.0,0.0,18.0,5.8,39,55.0
2070,1,12.0,2.5,2.2,4.7,39.0,34,28,15.0,17.0,1527.0,57.0,30,2418.0,2329.0,64.0,65.0,58.3,44.0,49.4,10.2,27,31.0,37,1875.0,0.0,57.0,0.0,17,40.0
2110,1,11.0,3.4,3.0,4.9,19.0,26,18,22.0,7.0,563.0,27.0,19,2418.0,1076.0,44.0,75.0,68.8,72.0,74.2,5.3,10,17.0,36,426.0,0.0,0.0,22.3,6,40.0
2122,1,14.0,3.6,3.2,4.6,22.0,29,24,18.0,19.0,338.0,31.0,24,1235.0,1736.0,57.0,81.0,58.3,73.0,60.0,9.3,14,17.0,29,732.0,0.0,5.0,19.8,6,33.0
2130,1,14.0,3.4,3.1,5.6,24.0,32,28,23.0,17.0,861.0,33.0,23,2418.0,1722.0,69.0,83.0,61.5,65.0,63.6,7.3,15,21.0,31,385.0,0.0,99.0,44.3,1,38.0
2150,1,12.0,2.8,2.1,5.7,19.0,30,21,26.0,17.0,383.0,35.0,28,2418.0,1270.0,74.0,82.0,50.7,78.0,68.0,6.9,11,25.0,31,732.0,0.0,3.0,0.0,4,38.0
2180,1,17.0,3.6,2.5,6.7,44.0,36,24,21.0,15.0,2813.0,96.0,29,2418.0,1223.0,106.0,76.0,55.8,56.0,40.9,12.3,32,39.0,46,732.0,0.0,66.0,0.0,36,44.0
2185,1,21.0,3.6,1.3,7.0,45.0,39,33,15.0,18.0,1251.0,101.0,25,4736.0,2020.0,64.0,65.0,56.0,59.0,44.6,5.4,14,45.0,39,901.0,0.0,0.0,10.6,4,38.0
2201,1,20.0,4.7,2.9,4.9,33.0,36,25,19.0,17.0,1190.0,53.0,34,1119.0,5647.0,60.0,35.0,56.5,59.0,47.9,15.3,23,22.0,41,732.0,0.0,63.0,0.0,8,60.0
2220,1,13.0,3.5,2.7,5.1,21.0,30,20,25.0,17.0,563.0,26.0,26,2418.0,2329.0,72.0,54.0,57.1,83.0,74.5,6.1,11,13.0,35,240.0,0.0,1.0,11.2,6,23.0
2240,1,16.0,3.8,2.3,5.4,23.0,31,25,14.0,25.0,270.0,34.0,28,1766.0,2478.0,31.0,73.0,52.7,64.0,64.4,10.9,20,17.0,25,732.0,0.0,10.0,0.0,9,40.0
2261,1,16.0,4.1,3.5,5.3,25.0,29,25,21.0,18.0,457.0,25.0,25,1384.0,3296.0,40.0,73.0,62.7,86.0,71.5,9.1,11,20.0,34,570.0,0.0,1.0,20.6,11,35.0
2270,1,26.0,6.3,3.8,5.8,38.0,30,28,8.0,17.0,2802.0,101.0,28,2418.0,2329.0,64.0,65.0,56.0,47.0,30.0,20.4,42,57.0,40,732.0,0.0,71.0,0.0,44,40.0
2290,1,18.0,4.2,2.5,4.3,42.0,33,27,25.0,17.0,1199.0,62.0,34,5617.0,2824.0,25.0,50.0,41.9,46.0,45.3,15.7,29,37.0,52,732.0,0.0,23.0,0.0,50,40.0
4003,2,18.0,4.2,3.7,8.1,21.0,24,24,14.0,22.0,299.0,55.0,17,2582.0,2705.0,64.0,74.0,61.0,79.0,62.2,8.8,31,21.0,33,564.0,12.4,15.0,10.6,12,39.0
4005,2,12.0,3.0,3.0,8.0,15.0,25,17,16.0,29.0,542.0,38.0,21,1359.0,1593.0,61.0,54.0,51.8,76.0,67.3,9.2,27,19.0,39,372.0,11.1,8.0,5.9,13,43.0
4007,2,23.0,4.9,5.5,8.6,26.0,26,25,16.0,31.0,235.0,83.0,20,1371.0,2176.0,66.0,66.0,65.9,72.0,40.4,10.8,38,24.0,42,488.0,12.0,19.0,9.3,12,39.0
4009,2,21.0,4.4,4.3,7.7,15.0,33,27,14.0,22.0,344.0,59.0,19,2062.0,2403.0,82.0,59.0,55.2,82.0,51.6,10.5,31,19.0,38,1627.0,12.6,0.0,8.1,14,52.0
4011,2,18.0,3.8,3.2,7.2,19.0,36,26,17.0,25.0,190.0,74.0,15,2087.0,4193.0,72.0,81.0,49.3,83.0,57.5,8.3,18,14.0,35,276.0,12.1,0.0,0.0,26,14.0
4015,2,20.0,4.2,4.3,6.9,28.0,27,30,17.0,21.0,139.0,60.0,20,2015.0,2836.0,69.0,81.0,64.2,73.0,49.4,11.0,37,25.0,34,218.0,12.4,28.0,6.4,17,46.0
4017,2,17.0,3.9,3.6,8.1,17.0,32,25,12.0,44.0,559.0,69.0,19,1763.0,1799.0,66.0,49.0,48.7,72.0,51.1,16.0,45,24.0,40,372.0,10.6,15.0,2.8,18,47.0
4021,2,17.0,3.6,3.4,6.8,17.0,30,24,19.0,20.0,253.0,65.0,19,7534.0,4560.0,65.0,78.0,69.2,71.0,55.7,10.3,23,19.0,32,238.0,12.8,7.0,2.3,5,56.0
4025,2,18.0,4.0,4.1,7.2,20.0,22,21,15.0,20.0,114.0,51.0,20,1611.0,1819.0,33.0,82.0,70.1,78.0,59.3,10.0,29,18.0,35,330.0,12.2,6.0,10.9,12,42.0
4027,2,23.0,3.8,3.0,6.1,14.0,29,24,15.0,14.0,417.0,72.0,24,2315.0,3686.0,64.0,80.0,66.1,78.0,52.3,27.1,32,25.0,36,388.0,11.6,1.0,5.1,11,57.0
5001,3,29.0,4.5,4.4,11.8,22.0,36,37,13.0,25.0,684.0,66.0,19,1899.0,2748.0,107.0,90.0,52.1,83.0,44.3,10.8,28,25.0,37,366.0,12.2,12.0,5.3,8,59.0
5003,3,26.0,4.6,3.6,10.2,26.0,39,39,10.0,33.0,837.0,67.0,20,2730.0,2753.0,87.0,83.0,54.4,83.0,43.4,11.2,31,25.0,34,306.0,11.9,4.0,0.0,11,59.0
5005,3,17.0,3.3,3.7,7.3,24.0,28,33,15.0,27.0,289.0,51.0,22,1339.0,2216.0,84.0,86.0,69.9,80.0,55.5,8.6,28,23.0,29,111.0,11.6,0.0,9.6,5,40.0
5007,3,13.0,3.2,2.8,7.2,18.0,28,28,14.0,16.0,169.0,52.0,19,1842.0,2319.0,60.0,81.0,66.3,87.0,58.4,6.3,18,16.0,23,241.0,10.5,10.0,10.3,6,53.0
5011,3,18.0,3.5,4.6,9.6,17.0,32,33,4.0,34.0,591.0,77.0,27,1916.0,2930.0,126.0,77.0,61.1,86.0,33.2,11.1,36,23.0,36,297.0,11.8,0.0,8.7,5,44.0
5017,3,26.0,6.8,4.0,11.7,23.0,38,36,10.0,33.0,610.0,75.0,21,1072.0,4173.0,100.0,84.0,48.6,78.0,35.8,11.9,48,30.0,56,811.0,12.1,0.0,0.0,3,45.0
5019,3,22.0,4.5,3.1,7.8,15.0,34,31,9.0,18.0,944.0,30.0,21,1639.0,3196.0,54.0,85.0,65.7,81.0,56.1,9.5,30,20.0,34,361.0,11.5,4.0,17.4,4,61.0
5025,3,22.0,5.3,5.2,11.0,23.0,33,28,7.0,26.0,334.0,52.0,21,8697.0,4054.0,91.0,86.0,68.2,90.0,51.3,7.9,25,22.0,36,69.0,11.9,0.0,0.0,9,67.0
5027,3,18.0,3.2,4.3,9.3,16.0,32,30,12.0,21.0,1234.0,52.0,19,1884.0,2868.0,89.0,81.0,58.9,86.0,56.6,9.4,37,29.0,49,445.0,11.5,2.0,16.3,7,58.0
5029,3,24.0,4.8,5.9,6.7,30.0,33,30,13.0,26.0,226.0,66.0,20,1519.0,3593.0,62.0,84.0,63.4,82.0,45.3,8.3,31,23.0,33,292.0,11.8,0.0,9.4,9,45.0
5031,3,20.0,3.8,3.7,8.3,19.0,33,32,9.0,24.0,699.0,51.0,21,2918.0,1644.0,74.0,85.0,62.3,85.0,57.8,7.3,28,19.0,38,368.0,13.0,0.0,7.2,10,54.0
5035,3,22.0,4.4,4.5,12.4,23.0,38,33,11.0,20.0,1271.0,90.0,19,2314.0,2346.0,84.0,83.0,59.0,74.0,49.5,12.6,40,27.0,62,1626.0,12.9,5.0,2.0,4,64.0
5039,3,21.0,4.1,4.0,14.2,23.0,34,34,4.0,37.0,887.0,69.0,20,1618.0,4248.0,91.0,82.0,55.1,88.0,32.5,11.1,34,22.0,34,358.0,11.7,0.0,0.0,10,50.0
5041,3,21.0,5.3,3.1,15.0,24.0,38,33,8.0,24.0,884.0,87.0,22,2164.0,6521.0,124.0,80.0,48.6,86.0,45.6,11.8,40,22.0,45,819.0,12.2,2.0,7.7,16,47.0
5045,3,18.0,4.2,3.5,7.7,18.0,33,28,14.0,19.0,423.0,36.0,18,2111.0,2879.0,54.0,86.0,63.3,87.0,62.5,7.0,18,17.0,29,301.0,12.0,23.0,9.6,9,48.0
5047,3,21.0,3.5,4.6,8.0,23.0,34,31,7.0,16.0,342.0,55.0,21,3625.0,4643.0,72.0,85.0,62.0,86.0,49.5,7.5,28,25.0,30,240.0,11.2,21.0,0.0,6,35.0
5051,3,18.0,4.2,5.3,9.2,26.0,28,28,15.0,25.0,334.0,57.0,23,1414.0,1821.0,59.0,85.0,60.8,82.0,51.9,8.3,32,21.0,38,629.0,11.5,0.0,10.4,12,42.0
5053,3,25.0,4.9,5.7,9.3,35.0,36,34,17.0,26.0,247.0,48.0,18,5964.0,4509.0,103.0,86.0,61.0,80.0,49.4,7.2,18,21.0,22,206.0,11.9,0.0,0.0,4,53.0
5059,3,27.0,4.7,5.3,8.0,22.0,35,35,10.0,30.0,416.0,65.0,20,4117.0,6901.0,114.0,80.0,52.6,83.0,48.0,7.6,30,23.0,30,121.0,11.6,0.0,6.1,9,64.0
5061,3,20.0,4.7,3.1,9.1,21.0,35,34,10.0,32.0,950.0,70.0,26,1973.0,4666.0,90.0,70.0,58.3,91.0,39.8,8.0,31,16.0,39,287.0,11.2,4.0,14.5,7,64.0
5063,3,22.0,5.0,4.4,9.1,23.0,30,33,9.0,37.0,415.0,59.0,20,1147.0,2894.0,96.0,80.0,59.9,90.0,47.3,8.8,28,23.0,35,586.0,12.4,0.0,5.4,8,50.0
5069,3,17.0,3.3,4.1,12.4,24.0,38,35,15.0,20.0,1285.0,70.0,18,1288.0,3186.0,67.0,82.0,67.8,76.0,49.5,10.6,36,28.0,58,1087.0,12.1,11.0,2.6,7,63.0
5073,3,16.0,5.0,4.7,12.7,14.0,31,33,10.0,42.0,1007.0,53.0,23,3818.0,4054.0,83.0,83.0,62.4,90.0,40.5,9.9,35,22.0,44,257.0,11.4,0.0,0.0,9,40.0
5075,3,21.0,4.2,3.6,7.6,19.0,34,34,6.0,39.0,293.0,49.0,21,2903.0,4504.0,136.0,87.0,56.2,90.0,41.0,9.8,34,22.0,27,190.0,12.6,7.0,0.0,13,27.0
5077,3,21.0,5.5,4.4,13.3,19.0,37,38,11.0,27.0,959.0,77.0,21,3474.0,6089.0,116.0,79.0,56.9,83.0,33.8,11.3,46,22.0,55,350.0,12.5,0.0,0.0,16,50.0
5081,3,18.0,4.1,4.0,9.9,23.0,33,32,7.0,27.0,737.0,58.0,20,1876.0,2652.0,124.0,75.0,52.5,80.0,48.4,7.7,28,22.0,36,145.0,11.2,10.0,0.0,4,44.0
5083,3,23.0,4.5,3.3,8.9,28.0,29,32,10.0,27.0,300.0,64.0,20,3190.0,3273.0,95.0,83.0,55.6,85.0,38.6,8.4,31,21.0,29,254.0,11.3,35.0,4.5,7,44.0
5085,3,17.0,3.5,4.0,7.8,21.0,34,31,14.0,25.0,323.0,49.0,18,5721.0,3846.0,79.0,84.0,60.5,79.0,58.9,6.8,19,17.0,29,410.0,12.1,11.0,5.8,6,52.0
5087,3,21.0,5.1,2.3,6.9,30.0,30,30,16.0,44.0,153.0,47.0,26,5235.0,5262.0,46.0,80.0,44.3,86.0,34.5,6.2,31,21.0,18,270.0,11.2,6.0,6.4,12,25.0
5089,3,17.0,5.5,4.1,7.4,23.0,32,28,13.0,29.0,132.0,54.0,24,5544.0,8387.0,65.0,82.0,61.7,87.0,53.2,9.4,35,14.0,21,245.0,11.4,18.0,0.0,6,45.0
5091,3,24.0,4.6,3.5,10.5,33.0,38,36,13.0,25.0,960.0,75.0,20,3348.0,3750.0,90.0,87.0,61.6,80.0,46.8,7.0,32,25.0,43,989.0,11.3,0.0,4.6,10,52.0
5093,3,26.0,5.5,4.6,11.6,29.0,39,43,7.0,26.0,1102.0,89.0,18,2574.0,3924.0,106.0,72.0,47.1,75.0,45.8,11.1,36,28.0,53,890.0,13.3,9.0,4.3,7,57.0
5095,3,21.0,4.7,3.4,12.2,23.0,36,37,11.0,49.0,1117.0,72.0,21,2030.0,4102.0,70.0,86.0,62.9,75.0,51.7,9.0,48,12.0,54,124.0,12.3,19.0,0.0,6,50.0
5097,3,21.0,5.2,3.8,7.6,23.0,28,29,10.0,36.0,200.0,52.0,26,9486.0,4803.0,66.0,79.0,49.2,86.0,44.7,8.3,35,23.0,27,44.0,11.3,0.0,10.5,10,38.0
5099,3,32.0,4.0,4.0,10.8,23.0,35,35,10.0,32.0,800.0,73.0,20,2994.0,9141.0,102.0,84.0,63.8,91.0,47.2,9.2,35,22.0,39,164.0,11.5,0.0,0.0,11,60.0
5101,3,17.0,4.2,3.3,8.9,23.0,35,33,16.0,25.0,132.0,43.0,26,4169.0,4054.0,79.0,90.0,53.1,88.0,47.3,7.8,36,22.0,24,221.0,11.5,30.0,0.0,15,25.0
5103,3,23.0,5.2,6.3,11.6,27.0,37,36,13.0,31.0,865.0,81.0,19,2009.0,3783.0,71.0,86.0,66.9,85.0,49.6,9.4,38,22.0,44,371.0,11.6,53.0,11.5,15,50.0
5107,3,20.0,4.1,5.4,13.5,21.0,39,39,12.0,34.0,1066.0,94.0,17,3095.0,2739.0,127.0,70.0,45.9,76.0,49.0,11.4,51,28.0,67,1584.0,12.4,17.0,4.6,24,50.0
5109,3,23.0,3.0,3.2,8.3,27.0,31,29,13.0,20.0,372.0,51.0,25,2259.0,3830.0,59.0,84.0,51.4,87.0,44.6,9.4,32,11.0,34,126.0,11.3,35.0,0.0,9,50.0
5111,3,27.0,4.6,6.9,9.9,24.0,37,38,11.0,33.0,631.0,84.0,20,4910.0,8297.0,106.0,85.0,60.2,77.0,38.7,9.0,37,22.0,43,497.0,12.9,1.0,0.0,5,67.0
5113,3,23.0,4.5,4.4,8.1,28.0,38,32,11.0,32.0,276.0,68.0,26,1878.0,3469.0,73.0,75.0,58.1,92.0,50.9,8.3,35,28.0,40,260.0,11.1,24.0,4.8,19,38.0
5115,3,20.0,4.4,3.1,7.5,25.0,32,26,14.0,18.0,468.0,48.0,20,1586.0,2963.0,88.0,83.0,58.5,85.0,53.6,7.6,30,22.0,31,266.0,11.6,0.0,8.1,6,65.0
5117,3,21.0,4.0,3.8,9.1,23.0,32,32,7.0,18.0,425.0,49.0,23,2918.0,4422.0,104.0,75.0,61.7,91.0,45.7,8.2,31,22.0,28,113.0,12.3,67.0,0.0,2,36.0
5119,3,15.0,3.2,3.4,10.5,20.0,32,29,16.0,18.0,791.0,60.0,18,2918.0,1572.0,64.0,81.0,66.1,68.0,65.5,7.2,23,19.0,44,1104.0,11.9,9.0,11.2,10,51.0
5121,3,22.0,4.8,4.9,7.3,18.0,35,33,10.0,33.0,340.0,57.0,22,1633.0,2617.0,94.0,90.0,59.3,95.0,50.4,10.3,35,27.0,27,35.0,12.3,3.0,11.1,14,48.0
