State,County,Perc.Fair.Poor.Health,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,Perc.Low.Birth.Weight,Perc.Smokers,Perc.Obese,Perc.Physically.Inactive,Perc.Excessive.Drinking,MV.Mortality.Rate,Chlamydia.Rate,Teen.Birth.Rate,Perc.Uninsured,Pr.Care.Physician.Ratio,Dentist.Ratio,Prev.Hosp.Stay.Rate,Perc.Diabetic.Screening,Perc.Mammography,Perc.High.School.Grad,Perc.Some.College,Perc.Unemployed,Perc.Children.in.Poverty,Perc.No.Soc.Emo.Support,Perc.Single.Parent.HH,Violent.Crime.Rate,Avg.Daily.Particulates,Perc.pop.in.viol,Rec.Facility.Rate,Perc.Limited.Access,Perc.Fast.Foods,source
2,44,20.0,3.9,4.3,7.2,16.0,33,28,13.0,59.0,646.0,61.0,21,3114.0,1909.0,96.0,28.0,31.1,70.0,43.2,18.9,44,37.0,46.0,75.0,10.4,45.0,2.8,44,53.0,test
2,964,15.0,3.1,3.1,7.0,17.0,24,19,17.0,13.0,408.0,55.0,19,1491.0,1656.0,52.0,82.0,69.4,80.0,62.1,8.4,25,19.0,33.0,422.0,12.2,0.0,6.7,4,54.0,test
2,1397,19.0,2.7,2.6,7.9,20.0,22,18,19.0,16.0,297.0,59.0,24,2966.0,4349.0,37.0,79.0,54.7,81.0,43.4,17.1,35,21.0,32.0,167.0,12.3,5.0,2.1,11,44.0,test
3,166,17.0,3.6,4.1,6.2,17.0,29,32,6.0,24.0,306.0,55.0,21,1318.0,1967.0,93.0,82.0,56.4,82.0,50.0,7.4,27,16.0,29.0,317.0,11.2,12.0,2.7,11,53.0,test
3,334,27.0,4.5,3.1,8.0,24.0,32,35,6.0,32.0,118.0,65.0,22,4017.0,2313.0,110.0,86.0,60.7,84.0,42.1,13.7,29,23.0,31.0,126.0,12.7,21.0,6.2,5,58.0,test
3,403,18.0,3.7,4.0,8.0,21.0,33,30,14.0,18.0,194.0,60.0,23,2066.0,5685.0,86.0,85.0,67.5,88.0,49.1,8.5,27,18.0,33.0,249.0,11.1,14.0,6.5,10,42.0,test
3,411,24.0,3.8,5.0,12.1,28.0,34,36,11.0,30.0,778.0,64.0,20,2229.0,2006.0,95.0,74.0,49.2,82.0,35.8,8.5,28,23.0,32.0,499.0,12.7,2.0,16.8,8,47.0,test
3,483,19.0,4.2,4.6,10.1,21.0,36,33,12.0,31.0,729.0,48.0,19,2057.0,3217.0,112.0,84.0,58.9,85.0,54.0,11.7,31,31.0,43.0,429.0,12.0,4.0,5.4,7,54.0,test
3,578,25.0,4.1,2.8,8.1,23.0,31,30,9.0,26.0,147.0,51.0,24,1360.0,4135.0,84.0,84.0,56.3,99.0,45.9,7.4,34,24.0,23.0,245.0,11.8,1.0,0.0,9,40.0,test
3,646,17.0,3.9,3.9,7.6,22.0,34,28,12.0,27.0,304.0,66.0,20,1757.0,3564.0,112.0,79.0,55.1,83.0,47.9,10.0,26,19.0,27.0,272.0,12.8,0.0,9.5,8,54.0,test
3,702,21.0,3.7,4.4,10.8,21.0,36,32,10.0,28.0,1106.0,78.0,24,3765.0,3815.0,114.0,84.0,61.6,84.0,45.7,8.5,38,22.0,37.0,495.0,11.4,7.0,13.3,11,48.0,test
3,777,21.0,5.2,3.5,10.8,21.0,32,37,3.0,35.0,533.0,78.0,23,2246.0,4993.0,142.0,77.0,52.7,86.0,37.9,10.6,35,23.0,47.0,583.0,12.6,0.0,11.1,9,31.0,test
3,793,23.0,4.5,3.4,7.1,26.0,35,31,13.0,23.0,337.0,66.0,24,1421.0,3733.0,75.0,85.0,54.9,85.0,39.1,7.2,30,20.0,31.0,197.0,11.4,0.0,7.8,4,59.0,test
3,1372,18.0,4.0,4.3,8.3,24.0,31,26,11.0,17.0,211.0,39.0,16,2503.0,3518.0,60.0,83.0,69.8,85.0,59.3,6.5,15,19.0,28.0,272.0,11.8,5.0,8.4,6,55.0,test
3,1420,19.0,4.4,4.0,8.3,22.0,30,34,12.0,16.0,446.0,61.0,24,2760.0,1621.0,63.0,80.0,66.3,78.0,52.7,8.3,31,20.0,32.0,632.0,11.0,20.0,10.3,5,52.0,test
3,1426,21.0,3.1,3.1,7.1,23.0,32,33,17.0,36.0,504.0,79.0,32,1905.0,4330.0,123.0,82.0,52.6,89.0,36.9,8.3,32,23.0,28.0,259.0,11.1,0.0,5.8,20,39.0,test
4,378,14.0,3.3,3.6,6.7,13.0,24,18,19.0,8.0,373.0,24.0,14,1120.0,1364.0,51.0,81.0,68.4,83.0,67.8,10.4,15,21.0,26.0,424.0,10.7,0.0,11.1,3,47.0,test
4,966,9.0,3.3,2.7,6.3,10.0,15,13,25.0,5.0,235.0,14.0,12,1922.0,1043.0,35.0,80.0,69.5,94.0,73.1,7.4,11,17.0,24.0,213.0,9.9,1.0,22.9,2,34.0,test
4,969,17.0,3.2,3.8,5.1,14.0,24,21,18.0,25.0,110.0,22.0,17,3653.0,1899.0,41.0,82.0,65.4,92.0,62.5,11.8,24,22.0,37.0,236.0,13.9,45.0,16.4,6,41.0,test
4,1378,20.0,4.3,4.1,7.1,17.0,28,21,17.0,14.0,418.0,47.0,23,1868.0,1719.0,63.0,75.0,54.7,80.0,51.2,13.2,26,26.0,33.0,485.0,12.2,2.0,5.4,7,58.0,test
4,1397,18.0,3.4,3.8,5.8,10.0,20,12,18.0,9.0,301.0,27.0,18,1047.0,1547.0,41.0,83.0,69.4,86.0,64.1,12.1,19,22.0,28.0,494.0,10.1,2.0,16.0,4,42.0,test
4,1432,15.0,4.0,4.0,6.2,23.0,28,20,20.0,15.0,252.0,37.0,18,1222.0,1666.0,49.0,83.0,62.2,88.0,62.0,14.7,25,15.0,36.0,725.0,11.4,1.0,7.9,7,51.0,test
4,1458,17.0,4.0,3.2,7.1,14.0,27,21,18.0,12.0,499.0,31.0,14,1371.0,1362.0,45.0,74.0,47.6,77.0,62.1,11.4,18,24.0,31.0,517.0,10.7,0.0,8.2,4,55.0,test
4,1461,14.0,3.8,3.5,5.8,14.0,23,15,22.0,10.0,264.0,25.0,18,1070.0,1278.0,39.0,80.0,66.3,83.0,60.2,9.8,16,20.0,28.0,412.0,9.9,1.0,11.8,4,37.0,test
4,1753,16.0,3.7,2.9,5.3,7.0,26,16,17.0,10.0,324.0,20.0,16,1922.0,2187.0,33.0,84.0,66.7,86.0,67.6,12.4,21,24.0,27.0,270.0,10.8,0.0,7.0,2,53.0,test
5,12,14.0,3.4,3.1,11.1,17.0,21,20,12.0,21.0,298.0,61.0,20,2044.0,1082.0,53.0,63.0,47.6,78.0,52.3,8.1,30,18.0,30.0,402.0,10.5,0.0,19.4,3,41.0,test
5,496,14.0,2.3,2.3,8.8,13.0,14,11,22.0,12.0,54.0,44.0,24,1370.0,1797.0,27.0,73.0,71.3,77.0,63.5,8.6,15,21.0,22.0,149.0,7.8,9.0,17.3,4,24.0,test
5,588,17.0,3.2,2.9,7.1,18.0,18,15,19.0,21.0,106.0,54.0,25,1403.0,1500.0,43.0,83.0,62.8,69.0,53.2,8.8,15,23.0,24.0,251.0,8.1,0.0,8.9,5,35.0,test
5,631,5.0,2.1,3.6,10.5,22.0,19,17,23.0,13.0,54.0,25.0,21,1344.0,3753.0,30.0,90.0,63.6,83.0,61.2,8.2,16,12.0,19.0,284.0,8.0,0.0,13.5,4,20.0,test
5,782,10.0,2.8,2.9,8.6,17.0,19,16,20.0,10.0,113.0,25.0,15,1197.0,1283.0,38.0,85.0,63.5,79.0,72.8,7.9,12,13.0,27.0,260.0,8.4,0.0,11.0,4,48.0,test
5,914,11.0,3.2,2.4,9.0,20.0,22,24,12.0,26.0,92.0,50.0,21,1095.0,1627.0,57.0,92.0,50.0,68.0,32.4,4.9,24,17.0,32.0,153.0,9.6,0.0,0.0,7,20.0,test
5,1758,15.0,2.3,1.7,6.8,20.0,24,22,6.0,17.0,169.0,49.0,25,2009.0,2560.0,69.0,77.0,61.5,88.0,57.5,3.8,20,18.0,11.0,85.0,9.1,0.0,0.0,7,14.0,test
6,917,10.0,3.1,3.1,7.0,18.0,20,19,18.0,11.0,111.0,13.0,9,1621.0,1964.0,49.0,87.0,71.1,86.0,64.9,8.2,9,19.0,22.0,124.0,10.4,1.0,12.6,2,26.0,test
7,1099,11.0,3.1,3.2,9.5,17.0,27,22,21.0,10.0,464.0,32.0,11,1233.0,1841.0,61.0,83.0,69.9,77.0,64.2,7.3,16,17.0,34.0,705.0,12.0,0.0,16.3,6,51.0,test
9,82,24.0,5.3,4.3,8.8,28.0,35,33,15.0,28.0,424.0,70.0,18,3011.0,4206.0,101.0,80.0,60.6,65.0,31.0,9.9,24,21.0,29.0,247.0,9.4,0.0,14.8,13,46.0,test
9,181,15.0,3.9,4.2,10.1,17.0,35,30,20.0,32.0,519.0,72.0,20,2848.0,6595.0,109.0,83.0,68.1,61.0,35.4,8.8,30,21.0,38.0,446.0,8.8,0.0,3.5,2,52.0,test
9,607,20.0,5.6,4.0,7.6,28.0,33,29,20.0,32.0,283.0,53.0,23,4244.0,9052.0,79.0,84.0,61.7,80.0,47.9,9.8,29,21.0,27.0,216.0,8.8,0.0,0.0,0,29.0,test
9,670,19.0,5.6,5.1,10.8,24.0,38,34,12.0,31.0,885.0,89.0,22,7368.0,8900.0,88.0,81.0,58.1,65.0,29.8,11.3,39,25.0,48.0,602.0,9.8,10.0,0.0,10,50.0,test
9,705,21.0,3.3,2.9,8.1,17.0,35,31,14.0,41.0,503.0,80.0,35,3558.0,2934.0,93.0,85.0,61.5,66.0,25.3,14.4,40,21.0,42.0,717.0,6.7,0.0,5.1,14,49.0,test
9,864,23.0,5.6,3.7,8.1,24.0,33,29,10.0,24.0,203.0,65.0,28,8894.0,1098.0,84.0,81.0,58.6,64.0,47.8,8.1,28,20.0,20.0,252.0,9.3,69.0,0.0,2,33.0,test
9,896,15.0,3.3,4.0,8.2,21.0,26,23,18.0,18.0,310.0,47.0,27,1615.0,2447.0,62.0,86.0,75.2,69.0,52.2,11.1,26,20.0,35.0,422.0,6.8,2.0,6.9,9,37.0,test
9,911,19.0,5.4,3.2,10.1,27.0,36,31,16.0,25.0,311.0,67.0,22,2625.0,3413.0,93.0,82.0,58.7,54.0,41.2,8.3,28,23.0,34.0,191.0,10.3,29.0,0.0,8,44.0,test
9,959,17.0,3.8,3.7,7.6,18.0,26,25,16.0,16.0,374.0,57.0,24,1729.0,2413.0,49.0,84.0,74.8,65.0,52.9,10.8,27,19.0,36.0,789.0,7.5,0.0,8.0,6,40.0,test
9,1529,23.0,4.6,4.6,8.0,28.0,31,30,15.0,31.0,323.0,69.0,24,5192.0,4769.0,80.0,84.0,62.6,54.0,41.3,9.3,36,25.0,39.0,550.0,9.4,0.0,4.8,8,41.0,test
9,1665,25.0,5.7,4.8,9.1,27.0,36,30,11.0,32.0,281.0,57.0,22,3558.0,5520.0,92.0,83.0,56.8,69.0,41.9,10.9,34,24.0,34.0,157.0,10.9,37.0,0.0,19,52.0,test
10,293,16.0,3.6,3.0,10.4,19.0,29,24,18.0,15.0,838.0,51.0,21,1191.0,1895.0,56.0,87.0,73.6,54.0,63.7,9.2,35,20.0,46.0,513.0,11.2,0.0,8.3,6,41.0,test
10,303,12.0,2.8,2.9,7.5,18.0,28,22,17.0,10.0,123.0,32.0,18,2759.0,2006.0,65.0,85.0,63.8,75.0,68.9,8.1,13,14.0,21.0,88.0,12.9,0.0,14.9,6,44.0,test
10,422,16.0,4.3,5.1,8.8,20.0,28,24,10.0,18.0,60.0,34.0,21,2769.0,4402.0,64.0,85.0,58.7,70.0,48.5,8.1,24,20.0,32.0,284.0,13.3,0.0,0.0,1,50.0,test
10,481,21.0,3.8,3.0,13.3,21.0,35,28,12.0,15.0,1065.0,75.0,20,1114.0,2201.0,61.0,81.0,67.6,54.0,57.3,11.4,40,26.0,62.0,930.0,11.3,0.0,6.3,21,56.0,test
10,565,8.0,2.5,2.4,7.3,14.0,23,20,18.0,9.0,51.0,24.0,15,2897.0,2772.0,68.0,82.0,66.1,86.0,73.5,7.3,10,15.0,13.0,89.0,12.9,0.0,14.1,4,50.0,test
10,664,12.0,2.8,2.7,7.8,15.0,26,20,16.0,11.0,330.0,36.0,25,1776.0,1825.0,56.0,87.0,63.3,68.0,64.1,8.5,22,19.0,27.0,290.0,12.9,3.0,9.3,8,49.0,test
10,693,18.0,3.8,2.9,9.6,20.0,30,26,13.0,25.0,182.0,50.0,24,2291.0,5173.0,90.0,80.0,59.7,72.0,45.6,11.6,30,18.0,31.0,356.0,13.1,0.0,11.9,2,52.0,test
10,896,11.0,3.2,3.3,8.6,21.0,28,24,13.0,22.0,244.0,37.0,17,2370.0,7319.0,65.0,76.0,65.2,66.0,55.0,8.0,18,21.0,22.0,105.0,11.6,0.0,10.5,4,71.0,test
10,932,18.0,3.8,2.9,11.2,24.0,34,27,14.0,12.0,860.0,51.0,22,1924.0,1968.0,81.0,88.0,66.3,62.0,60.2,9.3,33,20.0,40.0,332.0,10.3,2.0,9.1,9,54.0,test
10,936,14.0,2.0,3.0,6.9,10.0,28,20,10.0,24.0,124.0,25.0,24,2726.0,3971.0,87.0,86.0,67.8,81.0,51.3,10.6,27,20.0,30.0,233.0,13.1,1.0,3.3,1,43.0,test
10,994,24.0,5.2,3.5,11.9,24.0,30,28,5.0,29.0,594.0,72.0,20,1682.0,3697.0,69.0,83.0,51.9,77.0,39.5,11.1,36,20.0,52.0,366.0,12.8,0.0,0.0,4,41.0,test
10,947,15.0,5.1,2.2,13.4,20.0,34,27,10.0,23.0,475.0,56.0,24,1465.0,8308.0,81.0,80.0,69.6,64.0,37.2,14.7,37,20.0,47.0,337.0,12.2,0.0,0.0,9,78.0,test
10,1228,16.0,3.2,3.7,7.4,30.0,26,24,13.0,28.0,116.0,55.0,21,2265.0,2709.0,81.0,88.0,62.8,81.0,41.5,9.7,27,16.0,20.0,190.0,12.9,0.0,3.4,2,32.0,test
10,1408,18.0,4.0,3.0,8.2,20.0,31,28,10.0,34.0,240.0,50.0,22,2984.0,4201.0,82.0,60.0,58.8,76.0,48.9,11.4,26,20.0,27.0,178.0,12.3,0.0,0.0,1,75.0,test
10,1559,17.0,3.5,3.4,10.9,19.0,34,30,12.0,18.0,472.0,68.0,21,1147.0,2400.0,56.0,85.0,68.4,62.0,49.8,8.3,34,23.0,46.0,278.0,10.5,0.0,15.6,14,55.0,test
10,1585,15.0,3.7,2.6,10.6,20.0,35,29,9.0,48.0,523.0,63.0,23,2984.0,7329.0,67.0,90.0,54.5,79.0,29.1,13.3,41,20.0,41.0,254.0,12.0,100.0,0.0,8,100.0,test
10,1598,22.0,4.2,3.0,14.0,20.0,34,33,13.0,31.0,672.0,95.0,25,2237.0,4660.0,71.0,88.0,65.6,71.0,39.5,11.6,44,14.0,56.0,172.0,11.4,0.0,0.0,5,58.0,test
10,1647,25.0,5.0,4.5,10.3,28.0,31,36,10.0,23.0,105.0,65.0,22,4305.0,1002.0,64.0,81.0,58.4,72.0,46.0,8.7,27,16.0,32.0,500.0,13.2,0.0,7.3,10,55.0,test
12,5,16.0,3.8,3.5,6.0,22.0,28,24,20.0,22.0,101.0,31.0,27,1977.0,3975.0,31.0,88.0,58.7,68.0,53.8,17.3,27,19.0,32.0,173.0,8.4,3.0,0.0,4,29.0,test
12,151,10.0,2.1,2.7,6.8,16.0,18,13,26.0,27.0,197.0,37.0,24,1015.0,1962.0,21.0,80.0,75.3,76.0,66.3,8.8,16,16.0,18.0,265.0,7.3,1.0,51.6,6,26.0,test
12,523,17.0,3.7,2.6,6.9,16.0,28,23,21.0,19.0,455.0,57.0,22,1504.0,1539.0,47.0,80.0,53.4,72.0,60.9,9.0,22,18.0,21.0,230.0,7.8,56.0,7.4,12,39.0,test
12,849,12.0,3.5,3.1,6.0,20.0,26,20,16.0,11.0,365.0,31.0,20,1477.0,1651.0,33.0,86.0,65.4,74.0,65.8,10.3,20,16.0,28.0,329.0,10.4,5.0,15.8,8,46.0,test
12,883,12.0,3.5,2.7,5.2,15.0,26,17,19.0,11.0,320.0,9.0,17,1492.0,3107.0,49.0,89.0,69.1,82.0,76.0,7.2,17,12.0,21.0,111.0,9.8,1.0,8.0,5,46.0,test
12,1442,20.0,4.9,3.8,6.6,27.0,30,29,21.0,19.0,165.0,50.0,20,1414.0,2578.0,57.0,75.0,47.6,77.0,47.7,13.7,29,20.0,33.0,230.0,9.7,71.0,15.7,2,32.0,test
12,1603,14.0,3.3,3.2,7.2,19.0,26,24,13.0,21.0,212.0,50.0,24,1761.0,1603.0,55.0,84.0,65.1,76.0,57.8,8.0,23,15.0,25.0,273.0,8.6,78.0,7.7,4,48.0,test
13,5,18.0,4.3,3.2,7.0,27.0,31,34,16.0,9.0,265.0,39.0,12,1177.0,1653.0,92.0,92.0,65.2,90.0,63.1,6.6,23,15.0,27.0,396.0,11.5,2.0,11.9,4,37.0,test
13,203,13.0,3.0,3.0,7.4,18.0,30,28,0.0,17.0,72.0,27.0,12,2736.0,3360.0,77.0,88.0,60.4,89.0,41.0,4.7,14,0.0,24.0,317.0,11.7,0.0,14.5,12,40.0,test
13,562,7.0,2.0,1.6,8.1,18.0,32,31,15.0,22.0,185.0,35.0,13,1407.0,2896.0,84.0,90.0,63.9,85.0,58.7,9.4,17,16.0,17.0,433.0,12.3,0.0,14.2,5,44.0,test
13,703,13.0,3.0,3.0,7.1,18.0,31,28,15.0,34.0,205.0,36.0,17,7331.0,1230.0,66.0,72.0,58.6,92.0,60.4,7.9,21,16.0,27.0,196.0,11.3,4.0,0.0,0,20.0,test
13,777,20.0,3.5,3.2,7.7,19.0,27,27,15.0,13.0,1159.0,25.0,17,2736.0,1790.0,67.0,83.0,62.9,81.0,75.1,7.7,34,21.0,40.0,488.0,12.5,0.0,6.6,11,41.0,test
13,846,15.0,3.4,2.6,8.2,18.0,33,33,21.0,12.0,387.0,41.0,14,1470.0,3161.0,98.0,89.0,72.4,84.0,58.6,8.7,30,20.0,42.0,428.0,11.5,0.0,7.6,4,43.0,test
13,859,17.0,4.3,3.2,7.6,27.0,30,27,23.0,17.0,223.0,36.0,13,2276.0,2433.0,87.0,82.0,65.2,83.0,57.0,11.5,18,18.0,27.0,120.0,12.0,23.0,10.5,6,39.0,test
13,889,13.0,2.7,2.3,8.0,18.0,29,30,15.0,19.0,178.0,40.0,14,3366.0,9652.0,110.0,64.0,61.7,80.0,43.8,8.8,21,16.0,35.0,225.0,13.4,5.0,0.0,5,35.0,test
13,922,17.0,4.0,3.6,7.7,18.0,35,30,15.0,16.0,343.0,34.0,11,3363.0,3148.0,57.0,90.0,75.9,73.0,54.3,8.4,19,16.0,36.0,400.0,12.1,2.0,3.3,6,40.0,test
13,1071,13.0,3.0,3.1,6.3,18.0,28,30,10.0,20.0,155.0,30.0,14,2969.0,7620.0,86.0,88.0,73.0,88.0,50.9,7.7,18,16.0,21.0,73.0,12.7,0.0,6.7,1,36.0,test
13,1145,17.0,3.2,2.5,7.2,18.0,28,29,20.0,21.0,275.0,31.0,13,1724.0,3175.0,72.0,86.0,64.5,94.0,59.7,12.1,15,16.0,25.0,60.0,11.9,0.0,13.1,3,35.0,test
13,1285,13.0,3.0,3.0,7.9,7.0,29,29,15.0,24.0,100.0,20.0,13,6005.0,3003.0,106.0,81.0,56.0,83.0,56.0,10.8,13,16.0,24.0,67.0,11.9,0.0,33.3,0,42.0,test
13,1718,15.0,3.5,3.6,9.2,23.0,29,27,18.0,11.0,535.0,50.0,15,1341.0,1656.0,71.0,85.0,64.7,70.0,54.6,12.7,28,21.0,39.0,926.0,11.7,74.0,8.1,6,50.0,test
13,1727,8.0,2.1,2.0,6.5,19.0,29,24,19.0,13.0,114.0,20.0,9,2034.0,6614.0,60.0,94.0,68.9,88.0,71.3,7.0,9,12.0,17.0,37.0,11.9,1.0,7.8,1,42.0,test
14,5,15.0,3.1,2.9,7.0,21.0,33,25,16.0,15.0,125.0,31.0,21,2868.0,2680.0,99.0,88.0,53.9,92.0,47.8,8.4,28,24.0,16.0,166.0,13.0,0.0,14.5,3,42.0,test
14,166,13.0,2.7,2.6,6.7,19.0,30,30,19.0,12.0,122.0,23.0,11,2527.0,2391.0,70.0,88.0,67.4,96.0,76.3,7.3,9,17.0,18.0,22.0,13.0,17.0,12.3,1,49.0,test
14,403,20.0,5.7,3.8,9.5,24.0,37,31,8.0,35.0,159.0,43.0,18,2527.0,1079.0,86.0,84.0,51.2,87.0,34.8,10.9,30,25.0,30.0,262.0,13.2,0.0,0.0,4,18.0,test
14,636,17.0,4.3,3.9,9.4,27.0,30,33,13.0,13.0,337.0,42.0,17,2121.0,2206.0,74.0,89.0,70.2,88.0,49.7,10.5,26,24.0,41.0,176.0,13.0,0.0,7.1,8,55.0,test
14,646,16.0,3.8,2.9,8.2,26.0,31,29,14.0,22.0,127.0,47.0,17,3687.0,3042.0,104.0,83.0,53.6,87.0,50.2,9.1,21,15.0,30.0,43.0,13.4,0.0,3.0,3,45.0,test
14,777,20.0,4.2,3.9,7.5,25.0,31,33,15.0,16.0,307.0,58.0,19,1774.0,1799.0,65.0,82.0,65.6,92.0,47.9,8.2,20,19.0,26.0,280.0,13.3,0.0,7.0,5,63.0,test
14,782,18.0,4.1,4.6,8.0,28.0,31,31,16.0,14.0,278.0,37.0,17,1618.0,1903.0,97.0,81.0,62.2,83.0,48.9,9.2,22,30.0,35.0,166.0,13.3,0.0,6.2,5,38.0,test
14,866,18.0,3.7,3.5,10.0,26.0,34,30,18.0,11.0,461.0,45.0,17,1765.0,2138.0,96.0,79.0,58.0,83.0,58.2,9.9,30,23.0,41.0,421.0,12.4,0.0,7.3,8,56.0,test
14,950,19.0,4.0,4.8,8.6,30.0,37,34,15.0,14.0,397.0,48.0,17,1908.0,2261.0,86.0,85.0,70.4,81.0,52.1,10.5,29,22.0,39.0,205.0,13.1,0.0,9.9,6,44.0,test
14,1283,27.0,3.7,2.8,6.9,23.0,34,28,12.0,26.0,67.0,42.0,17,2227.0,4519.0,69.0,82.0,51.9,90.0,50.4,7.5,20,17.0,25.0,254.0,12.5,0.0,7.5,1,56.0,test
14,1697,11.0,3.2,1.9,8.3,22.0,33,21,22.0,19.0,189.0,32.0,15,2084.0,2598.0,73.0,82.0,56.4,91.0,56.7,8.7,14,14.0,25.0,46.0,12.6,0.0,9.0,2,48.0,test
15,21,16.0,2.1,2.4,6.5,21.0,29,24,24.0,24.0,195.0,35.0,18,1594.0,3669.0,64.0,93.0,70.4,99.0,58.3,7.8,23,26.0,20.0,19.0,11.3,1.0,0.0,6,14.0,test
15,72,8.0,2.3,2.2,8.7,18.0,33,29,18.0,17.0,360.0,31.0,14,3057.0,6251.0,52.0,84.0,67.5,91.0,66.9,6.3,16,16.0,29.0,75.0,9.3,0.0,0.0,1,37.0,test
15,132,8.0,2.1,2.1,5.9,23.0,31,26,20.0,18.0,173.0,19.0,9,5214.0,4397.0,61.0,91.0,67.5,85.0,67.1,6.1,12,15.0,21.0,55.0,10.8,5.0,11.5,3,44.0,test
15,657,10.0,2.5,2.0,8.3,13.0,31,25,21.0,13.0,137.0,16.0,9,6227.0,4202.0,54.0,90.0,70.9,96.0,74.2,5.1,8,10.0,21.0,30.0,10.6,0.0,0.0,2,15.0,test
15,676,15.0,2.6,2.4,4.5,22.0,29,26,16.0,12.0,150.0,27.0,11,3772.0,2300.0,66.0,87.0,68.6,96.0,59.8,6.3,14,21.0,24.0,71.0,10.9,0.0,17.7,5,33.0,test
15,737,13.0,2.2,1.3,5.8,16.0,28,24,21.0,21.0,167.0,28.0,13,1365.0,4886.0,50.0,88.0,71.7,93.0,62.1,6.0,20,15.0,17.0,74.0,11.3,2.0,10.5,11,13.0,test
15,779,12.0,2.7,3.4,7.9,18.0,35,25,20.0,15.0,198.0,33.0,10,2454.0,2262.0,58.0,91.0,62.3,92.0,59.2,7.9,14,16.0,31.0,118.0,10.3,0.0,10.9,4,58.0,test
