Avg.Daily.Particulates,Chlamydia.Rate,County,Dentist.Ratio,FIPS,MV.Mortality.Rate,Mentally.Unhealthy.Days,Perc.Children.in.Poverty,Perc.Diabetic.Screening,Perc.Excessive.Drinking,Perc.Fair.Poor.Health,Perc.Fast.Foods,Perc.High.School.Grad,Perc.Limited.Access,Perc.Low.Birth.Weight,Perc.Mammography,Perc.No.Soc.Emo.Support,Perc.Obese,Perc.Physically.Inactive,Perc.Single.Parent.HH,Perc.Smokers,Perc.Some.College,Perc.Unemployed,Perc.Uninsured,Perc.pop.in.viol,Physically.Unhealthy.Days,Pr.Care.Physician.Ratio,Prev.Hosp.Stay.Rate,Rec.Facility.Rate,State,Teen.Birth.Rate,Violent.Crime.Rate,YPLL.Rate,source,FIPS1,FIPS2
10.0,92.0,914,1627.0,8073,26.0,2.0,24.0,92.0,12.0,11.0,20.0,68.0,7.0,9.0,50.0,17.0,22.0,24.0,32.0,20.0,32.0,5.0,21.0,0.0,3.0,1095.0,57.0,0.0,5,50.0,153.0,,test,80,73
9.0,169.0,1758,2560.0,8125,17.0,2.0,20.0,77.0,6.0,15.0,14.0,88.0,7.0,7.0,62.0,18.0,24.0,22.0,11.0,20.0,58.0,4.0,25.0,0.0,2.0,2009.0,69.0,0.0,5,49.0,85.0,,test,81,25
10.0,111.0,917,1964.0,9005,11.0,3.0,9.0,87.0,18.0,10.0,26.0,86.0,2.0,7.0,71.0,19.0,20.0,19.0,22.0,18.0,65.0,8.0,9.0,1.0,3.0,1621.0,49.0,13.0,6,13.0,124.0,,test,90,05
12.0,464.0,1099,1841.0,10003,10.0,3.0,16.0,83.0,21.0,11.0,51.0,77.0,6.0,10.0,70.0,17.0,27.0,22.0,34.0,17.0,64.0,7.0,11.0,0.0,3.0,1233.0,61.0,16.0,7,32.0,705.0,,test,10,003
9.0,424.0,82,4206.0,12003,28.0,4.0,24.0,80.0,15.0,24.0,46.0,65.0,13.0,9.0,61.0,21.0,35.0,33.0,29.0,28.0,31.0,10.0,18.0,0.0,5.0,3011.0,101.0,15.0,9,70.0,247.0,,test,12,003
9.0,519.0,181,6595.0,12007,32.0,4.0,30.0,83.0,20.0,15.0,52.0,61.0,2.0,10.0,68.0,21.0,35.0,30.0,38.0,17.0,35.0,9.0,20.0,0.0,4.0,2848.0,109.0,4.0,9,72.0,446.0,,test,12,007
9.0,283.0,607,9052.0,12041,32.0,4.0,29.0,84.0,20.0,20.0,29.0,80.0,0.0,8.0,62.0,21.0,33.0,29.0,27.0,28.0,48.0,10.0,23.0,0.0,6.0,4244.0,79.0,0.0,9,53.0,216.0,,test,12,041
10.0,885.0,670,8900.0,12047,31.0,5.0,39.0,81.0,12.0,19.0,50.0,65.0,10.0,11.0,58.0,25.0,38.0,34.0,48.0,24.0,30.0,11.0,22.0,10.0,6.0,7368.0,88.0,0.0,9,89.0,602.0,,test,12,047
7.0,503.0,705,2934.0,12051,41.0,3.0,40.0,85.0,14.0,21.0,49.0,66.0,14.0,8.0,62.0,21.0,35.0,31.0,42.0,17.0,25.0,14.0,35.0,0.0,3.0,3558.0,93.0,5.0,9,80.0,717.0,,test,12,051
9.0,203.0,864,1098.0,12067,24.0,4.0,28.0,81.0,10.0,23.0,33.0,64.0,2.0,8.0,59.0,20.0,33.0,29.0,20.0,24.0,48.0,8.0,28.0,69.0,6.0,8894.0,84.0,0.0,9,65.0,252.0,,test,12,067
7.0,310.0,896,2447.0,12071,18.0,4.0,26.0,86.0,18.0,15.0,37.0,69.0,9.0,8.0,75.0,20.0,26.0,23.0,35.0,21.0,52.0,11.0,27.0,2.0,3.0,1615.0,62.0,7.0,9,47.0,422.0,,test,12,071
10.0,311.0,911,3413.0,12077,25.0,3.0,28.0,82.0,16.0,19.0,44.0,54.0,8.0,10.0,59.0,23.0,36.0,31.0,34.0,27.0,41.0,8.0,22.0,29.0,5.0,2625.0,93.0,0.0,9,67.0,191.0,,test,12,077
8.0,374.0,959,2413.0,12081,16.0,4.0,27.0,84.0,16.0,17.0,40.0,65.0,6.0,8.0,75.0,19.0,26.0,25.0,36.0,18.0,53.0,11.0,24.0,0.0,4.0,1729.0,49.0,8.0,9,57.0,789.0,,test,12,081
9.0,323.0,1529,4769.0,12121,31.0,5.0,36.0,84.0,15.0,23.0,41.0,54.0,8.0,8.0,63.0,25.0,31.0,30.0,39.0,28.0,41.0,9.0,24.0,0.0,5.0,5192.0,80.0,5.0,9,69.0,550.0,,test,12,121
11.0,281.0,1665,5520.0,12133,32.0,5.0,34.0,83.0,11.0,25.0,52.0,69.0,19.0,9.0,57.0,24.0,36.0,30.0,34.0,27.0,42.0,11.0,22.0,37.0,6.0,3558.0,92.0,0.0,9,57.0,157.0,,test,12,133
11.0,838.0,293,1895.0,13051,15.0,3.0,35.0,87.0,18.0,16.0,41.0,54.0,6.0,10.0,74.0,20.0,29.0,24.0,46.0,19.0,64.0,9.0,21.0,0.0,4.0,1191.0,56.0,8.0,10,51.0,513.0,,test,13,051
13.0,123.0,303,2006.0,13057,10.0,3.0,13.0,85.0,17.0,12.0,44.0,75.0,6.0,8.0,64.0,14.0,28.0,22.0,21.0,18.0,69.0,8.0,18.0,0.0,3.0,2759.0,65.0,15.0,10,32.0,88.0,,test,13,057
13.0,60.0,422,4402.0,13083,18.0,5.0,24.0,85.0,10.0,16.0,50.0,70.0,1.0,9.0,59.0,20.0,28.0,24.0,32.0,20.0,49.0,8.0,21.0,0.0,4.0,2769.0,64.0,0.0,10,34.0,284.0,,test,13,083
11.0,1065.0,481,2201.0,13095,15.0,3.0,40.0,81.0,12.0,21.0,56.0,54.0,21.0,13.0,68.0,26.0,35.0,28.0,62.0,21.0,57.0,11.0,20.0,0.0,4.0,1114.0,61.0,6.0,10,75.0,930.0,,test,13,095
13.0,51.0,565,2772.0,13117,9.0,2.0,10.0,82.0,18.0,8.0,50.0,86.0,4.0,7.0,66.0,15.0,23.0,20.0,13.0,14.0,74.0,7.0,15.0,0.0,3.0,2897.0,68.0,14.0,10,24.0,89.0,,test,13,117
13.0,330.0,664,1825.0,13135,11.0,3.0,22.0,87.0,16.0,12.0,49.0,68.0,8.0,8.0,63.0,19.0,26.0,20.0,27.0,15.0,64.0,9.0,25.0,3.0,3.0,1776.0,56.0,9.0,10,36.0,290.0,,test,13,135
13.0,182.0,693,5173.0,13147,25.0,3.0,30.0,80.0,13.0,18.0,52.0,72.0,2.0,10.0,60.0,18.0,30.0,26.0,31.0,20.0,46.0,12.0,24.0,0.0,4.0,2291.0,90.0,12.0,10,50.0,356.0,,test,13,147
12.0,244.0,896,7319.0,13177,22.0,3.0,18.0,76.0,13.0,11.0,71.0,66.0,4.0,9.0,65.0,21.0,28.0,24.0,22.0,21.0,55.0,8.0,17.0,0.0,3.0,2370.0,65.0,11.0,10,37.0,105.0,,test,13,177
10.0,860.0,932,1968.0,13185,12.0,3.0,33.0,88.0,14.0,18.0,54.0,62.0,9.0,11.0,66.0,20.0,34.0,27.0,40.0,24.0,60.0,9.0,22.0,2.0,4.0,1924.0,81.0,9.0,10,51.0,332.0,,test,13,185
13.0,124.0,936,3971.0,13187,24.0,3.0,27.0,86.0,10.0,14.0,43.0,81.0,1.0,7.0,68.0,20.0,28.0,20.0,30.0,10.0,51.0,11.0,24.0,1.0,2.0,2726.0,87.0,3.0,10,25.0,233.0,,test,13,187
13.0,594.0,994,3697.0,13189,29.0,4.0,36.0,83.0,5.0,24.0,41.0,77.0,4.0,12.0,52.0,20.0,30.0,28.0,52.0,24.0,40.0,11.0,20.0,0.0,5.0,1682.0,69.0,0.0,10,72.0,366.0,,test,13,189
12.0,475.0,947,8308.0,13193,23.0,2.0,37.0,80.0,10.0,15.0,78.0,64.0,9.0,13.0,70.0,20.0,34.0,27.0,47.0,20.0,37.0,15.0,24.0,0.0,5.0,1465.0,81.0,0.0,10,56.0,337.0,,test,13,193
13.0,116.0,1228,2709.0,13227,28.0,4.0,27.0,88.0,13.0,16.0,32.0,81.0,2.0,7.0,63.0,16.0,26.0,24.0,20.0,30.0,42.0,10.0,21.0,0.0,3.0,2265.0,81.0,3.0,10,55.0,190.0,,test,13,227
12.0,240.0,1408,4201.0,13249,34.0,3.0,26.0,60.0,10.0,18.0,75.0,76.0,1.0,8.0,59.0,20.0,31.0,28.0,27.0,20.0,49.0,11.0,22.0,0.0,4.0,2984.0,82.0,0.0,10,50.0,178.0,,test,13,249
11.0,472.0,1559,2400.0,13275,18.0,3.0,34.0,85.0,12.0,17.0,55.0,62.0,14.0,11.0,68.0,23.0,34.0,30.0,46.0,19.0,50.0,8.0,21.0,0.0,4.0,1147.0,56.0,16.0,10,68.0,278.0,,test,13,275
12.0,523.0,1585,7329.0,13283,48.0,3.0,41.0,90.0,9.0,15.0,100.0,79.0,8.0,11.0,55.0,20.0,35.0,29.0,41.0,20.0,29.0,13.0,23.0,100.0,4.0,2984.0,67.0,0.0,10,63.0,254.0,,test,13,283
11.0,672.0,1598,4660.0,13287,31.0,3.0,44.0,88.0,13.0,22.0,58.0,71.0,5.0,14.0,66.0,14.0,34.0,33.0,56.0,20.0,40.0,12.0,25.0,0.0,4.0,2237.0,71.0,0.0,10,95.0,172.0,,test,13,287
13.0,105.0,1647,1002.0,13295,23.0,5.0,27.0,81.0,10.0,25.0,55.0,72.0,10.0,10.0,58.0,16.0,31.0,36.0,32.0,28.0,46.0,9.0,22.0,0.0,5.0,4305.0,64.0,7.0,10,65.0,500.0,,test,13,295
8.0,101.0,5,3975.0,16003,22.0,4.0,27.0,88.0,20.0,16.0,29.0,68.0,4.0,6.0,59.0,19.0,28.0,24.0,32.0,22.0,54.0,17.0,27.0,3.0,4.0,1977.0,31.0,0.0,12,31.0,173.0,,test,16,003
7.0,197.0,151,1962.0,16013,27.0,3.0,16.0,80.0,26.0,10.0,26.0,76.0,6.0,7.0,75.0,16.0,18.0,13.0,18.0,16.0,66.0,9.0,24.0,1.0,2.0,1015.0,21.0,52.0,12,37.0,265.0,,test,16,013
8.0,455.0,523,1539.0,16039,19.0,3.0,22.0,80.0,21.0,17.0,39.0,72.0,12.0,7.0,53.0,18.0,28.0,23.0,21.0,16.0,61.0,9.0,22.0,56.0,4.0,1504.0,47.0,7.0,12,57.0,230.0,,test,16,039
10.0,365.0,849,1651.0,16055,11.0,3.0,20.0,86.0,16.0,12.0,46.0,74.0,8.0,6.0,65.0,16.0,26.0,20.0,28.0,20.0,66.0,10.0,20.0,5.0,4.0,1477.0,33.0,16.0,12,31.0,329.0,,test,16,055
10.0,320.0,883,3107.0,16057,11.0,3.0,17.0,89.0,19.0,12.0,46.0,82.0,5.0,5.0,69.0,12.0,26.0,17.0,21.0,15.0,76.0,7.0,17.0,1.0,4.0,1492.0,49.0,8.0,12,9.0,111.0,,test,16,057
10.0,165.0,1442,2578.0,16079,19.0,4.0,29.0,75.0,21.0,20.0,32.0,77.0,2.0,7.0,48.0,20.0,30.0,29.0,33.0,27.0,48.0,14.0,20.0,71.0,5.0,1414.0,57.0,16.0,12,50.0,230.0,,test,16,079
9.0,212.0,1603,1603.0,16083,21.0,3.0,23.0,84.0,13.0,14.0,48.0,76.0,4.0,7.0,65.0,15.0,26.0,24.0,25.0,19.0,58.0,8.0,24.0,78.0,3.0,1761.0,55.0,8.0,12,50.0,273.0,,test,16,083
12.0,265.0,5,1653.0,17001,9.0,3.0,23.0,92.0,16.0,18.0,37.0,90.0,4.0,7.0,65.0,15.0,31.0,34.0,27.0,27.0,63.0,7.0,12.0,2.0,4.0,1177.0,92.0,12.0,13,39.0,396.0,,test,17,001
12.0,72.0,203,3360.0,17009,17.0,3.0,14.0,88.0,0.0,13.0,40.0,89.0,12.0,7.0,60.0,0.0,30.0,28.0,24.0,18.0,41.0,5.0,12.0,0.0,3.0,2736.0,77.0,15.0,13,27.0,317.0,,test,17,009
12.0,185.0,562,2896.0,17053,22.0,2.0,17.0,90.0,15.0,7.0,44.0,85.0,5.0,8.0,64.0,16.0,32.0,31.0,17.0,18.0,59.0,9.0,13.0,0.0,2.0,1407.0,84.0,14.0,13,35.0,433.0,,test,17,053
11.0,205.0,703,1230.0,17071,34.0,3.0,21.0,72.0,15.0,13.0,20.0,92.0,0.0,7.0,59.0,16.0,31.0,28.0,27.0,18.0,60.0,8.0,17.0,4.0,3.0,7331.0,66.0,0.0,13,36.0,196.0,,test,17,071
13.0,1159.0,777,1790.0,17077,13.0,3.0,34.0,83.0,15.0,20.0,41.0,81.0,11.0,8.0,63.0,21.0,27.0,27.0,40.0,19.0,75.0,8.0,17.0,0.0,4.0,2736.0,67.0,7.0,13,25.0,488.0,,test,17,077
12.0,387.0,846,3161.0,17095,12.0,3.0,30.0,89.0,21.0,15.0,43.0,84.0,4.0,8.0,72.0,20.0,33.0,33.0,42.0,18.0,59.0,9.0,14.0,0.0,3.0,1470.0,98.0,8.0,13,41.0,428.0,,test,17,095
12.0,223.0,859,2433.0,17099,17.0,3.0,18.0,82.0,23.0,17.0,39.0,83.0,6.0,8.0,65.0,18.0,30.0,27.0,27.0,27.0,57.0,12.0,13.0,23.0,4.0,2276.0,87.0,11.0,13,36.0,120.0,,test,17,099
13.0,178.0,889,9652.0,17101,19.0,2.0,21.0,64.0,15.0,13.0,35.0,80.0,5.0,8.0,62.0,16.0,29.0,30.0,35.0,18.0,44.0,9.0,14.0,5.0,3.0,3366.0,110.0,0.0,13,40.0,225.0,,test,17,101
12.0,343.0,922,3148.0,17107,16.0,4.0,19.0,90.0,15.0,17.0,40.0,73.0,6.0,8.0,76.0,16.0,35.0,30.0,36.0,18.0,54.0,8.0,11.0,2.0,4.0,3363.0,57.0,3.0,13,34.0,400.0,,test,17,107
13.0,155.0,1071,7620.0,17139,20.0,3.0,18.0,88.0,10.0,13.0,36.0,88.0,1.0,6.0,73.0,16.0,28.0,30.0,21.0,18.0,51.0,8.0,14.0,0.0,3.0,2969.0,86.0,7.0,13,30.0,73.0,,test,17,139
12.0,275.0,1145,3175.0,17141,21.0,3.0,15.0,86.0,20.0,17.0,35.0,94.0,3.0,7.0,65.0,16.0,28.0,29.0,25.0,18.0,60.0,12.0,13.0,0.0,3.0,1724.0,72.0,13.0,13,31.0,60.0,,test,17,141
12.0,100.0,1285,3003.0,17155,24.0,3.0,13.0,81.0,15.0,13.0,42.0,83.0,0.0,8.0,56.0,16.0,29.0,29.0,24.0,7.0,56.0,11.0,13.0,0.0,3.0,6005.0,106.0,33.0,13,20.0,67.0,,test,17,155
12.0,535.0,1718,1656.0,17201,11.0,4.0,28.0,85.0,18.0,15.0,50.0,70.0,6.0,9.0,65.0,21.0,29.0,27.0,39.0,23.0,55.0,13.0,15.0,74.0,4.0,1341.0,71.0,8.0,13,50.0,926.0,,test,17,201
12.0,114.0,1727,6614.0,17203,13.0,2.0,9.0,94.0,19.0,8.0,42.0,88.0,1.0,7.0,69.0,12.0,29.0,24.0,17.0,19.0,71.0,7.0,9.0,1.0,2.0,2034.0,60.0,8.0,13,20.0,37.0,,test,17,203
13.0,125.0,5,2680.0,18001,15.0,3.0,28.0,88.0,16.0,15.0,42.0,92.0,3.0,7.0,54.0,24.0,33.0,25.0,16.0,21.0,48.0,8.0,21.0,0.0,3.0,2868.0,99.0,15.0,14,31.0,166.0,,test,18,001
