Share Names,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,Deliverable Qty,% Dly Qt to Traded Qty
Share3,8-May-17,2442.1,2443,2480,2406.05,2426.95,2449.75,2449.43,34648,84868012.95,2564,84.18
Share3,9-May-17,2449.75,2450,2505,2419.8,2485,2480.35,2452.32,220603,540988493.3,1601,96.79
Share3,10-May-17,2480.35,2466.1,2529,2466.1,2515.05,2517.5,2482.26,114626,284531295.7,1664,93.47
Share3,11-May-17,2517.5,2521,2544.65,2510,2544.65,2528.6,2525.09,13176,33270615.75,1384,49.22
Share3,12-May-17,2528.6,2520,2543,2487.3,2490.05,2513.25,2510.58,10730,26938471.9,2878,63.48
Share3,15-May-17,2513.25,2480.05,2567.7,2480.05,2562,2559.05,2537.42,15678,39781618.35,1636,57.46
Share4,2-May-17,4543.25,4545,4700,4545,4661,4674.7,4643.64,36116,167709760.1,3009,80.11
Share4,3-May-17,4674.7,4642.8,4668,4510.05,4549.8,4594.6,4617.51,18795,86786168.15,2501,66.2
Share4,4-May-17,4594.6,4599,4725,4544.1,4665,4665.85,4664.56,15617,72846411.75,2840,50.8
Share4,5-May-17,4665.85,4615,4745.95,4566.35,4581.95,4609.55,4694.85,33268,156188225.4,4591,63.4
Share4,8-May-17,4609.55,4570,4699.7,4570,4699.5,4686.65,4661.25,4820,22467235.4,1074,53.53
Share4,9-May-17,4686.65,4655,4692.5,4625.85,4690,4682.45,4676.85,4032,18857079.35,1059,47.37
Share4,10-May-17,4682.45,4641.05,4748.9,4641.05,4700,4708.05,4715.55,13806,65102868.35,3990,63.38
Share4,11-May-17,4708.05,4653.05,4735.95,4626.9,4649,4653.6,4694.8,8867,41628797.7,1706,65.61
Share4,12-May-17,4653.6,4620,4707.25,4585,4650,4615.7,4655.97,7033,32745444.35,2310,50.83
Share4,15-May-17,4615.7,4615.7,4709.8,4580,4690,4693.45,4688.28,8295,38889296.3,2356,74.23
Share5,2-May-17,182.95,181.3,184.3,181.3,182.7,183.1,182.67,2445074,446652371.5,32720,42.31
Share5,3-May-17,183.1,183.6,183.95,177.9,178.9,178.85,180.53,3443322,621609979.4,20154,58.06
Share5,4-May-17,178.85,179.05,182.3,177.3,181.9,181.75,180.71,2454996,443635645.5,20019,39.17
Share5,5-May-17,181.75,180.05,181.85,178.8,179.45,179.5,180.07,3476626,626020410.8,26604,58.56
Share5,8-May-17,179.5,179.5,182.7,179.5,180.85,180.85,181.28,1827920,331363427.3,14092,42.2
Share5,9-May-17,180.85,180.85,182.1,180.05,181.8,181.25,180.96,1539372,278563692.7,13323,55.95
Share5,10-May-17,181.25,180.4,185,180.4,184.05,183.95,183.9,2469417,454127887.9,22210,44.93
Share5,11-May-17,183.95,185.75,186.9,181.05,182.05,181.75,183.95,4619364,849720431.7,31720,53.04
Share5,12-May-17,181.75,182.3,182.3,177.45,179.6,179.4,179.16,2174542,389583441.2,15997,46.75
Share5,15-May-17,179.4,180,180.95,178.8,180.1,179.95,179.84,1570316,282398791.4,15672,54.91
Share6,2-May-17,355.5,355.5,355.95,346.7,348,347.6,349.24,2195524,766756927.1,45431,58.37
Share6,3-May-17,347.6,348.1,350,343.85,346.55,346.35,347.21,2358454,818890363,58903,64.82
Share6,4-May-17,346.35,346.7,351.4,343.7,345.9,346,347.08,1213003,421005298.8,18765,41.52
Share6,5-May-17,346,346.45,349,343.15,344.5,344.75,345.47,1539822,531965483.5,15597,51.88
Share6,8-May-17,344.75,344.75,355.25,344.3,352.3,351.3,351.06,2664070,935246768.7,20779,44.27
Share6,9-May-17,351.3,350,351,343.6,345.7,345.25,346.81,2817923,977280815.7,38928,42.05
Share6,10-May-17,345.25,336.5,380.4,336.5,372.8,372.75,363.5,24411321,8873508071,172771,30.09
Share6,11-May-17,372.75,370,370.85,362.45,363.9,366,366,7263857,2658586706,138683,45.52
Share6,12-May-17,366,362.25,370.3,361.5,364,365.1,365,3668575,1339027492,55804,53.03
Share6,15-May-17,365.1,366,369.95,361.4,364,364.15,364.97,3724158,1359207084,61172,65.07
Share7,2-May-17,719.25,727,743,721.25,741.3,739.85,736.55,2209271,1627235728,55450,43.39
Share7,3-May-17,739.85,744,753.55,728.5,737.1,736.2,741.65,2474078,1834897193,47212,37.93
Share7,4-May-17,736.2,741,741,719.8,732.3,731.5,727.1,1764395,1282899364,47334,57.61
Share7,5-May-17,731.5,735,745,720,724.7,724.75,731.26,2559463,1871641700,51907,45.89
Share7,8-May-17,724.75,726,729.6,710.1,714.8,715.6,717.01,1846513,1323961515,43186,53.61
Share7,9-May-17,715.6,717.5,723,710.35,721,721.4,718.55,1280378,920017389.9,38345,39.33
Share7,10-May-17,721.4,727.8,730,720.45,729.2,728.25,726.88,1506573,1095092067,40222,51.36
Share7,11-May-17,728.25,732.25,735.4,725,731.25,730.65,731.32,1338187,978646071.2,43812,53.04
Share7,12-May-17,730.65,730.6,735.95,725,733,733.15,730.75,1006454,735464896,25597,42
Share7,15-May-17,733.15,734.65,736,723,729,727.85,728.22,839675,611468413.2,18823,34.44
Share8,2-May-17,1578.95,1584.9,1625,1574.95,1578.55,1590.95,1600.59,42170,67496929,5224,62.53
Share8,3-May-17,1590.95,1593.95,1595,1553.8,1570,1572.75,1574.59,13380,21068008.3,1641,67.26
Share8,4-May-17,1572.75,1565,1580,1544.95,1549.95,1549.95,1551.47,36549,56704496.05,2463,82.26
Share8,5-May-17,1549.95,1550.1,1567,1511.4,1511.4,1515.3,1531.42,17777,27224121.75,1248,70.85
Share8,8-May-17,1515.3,1516,1560,1495,1554,1532.75,1517.86,24032,36477218.7,2448,54.84
Share8,9-May-17,1532.75,1548.85,1580.25,1548.2,1580.25,1571.15,1567.2,59302,92938380.85,2344,51.51
Share8,10-May-17,1571.15,1574.85,1594,1560,1565,1565.05,1570.93,16513,25940689.95,3111,63.76
Share8,11-May-17,1565.05,1570.05,1599,1565.05,1599,1594.7,1588.32,18959,30112934.85,2524,67.87
Share8,12-May-17,1594.7,1594.95,1616,1566.6,1590,1603.65,1604.09,28780,46165620.75,2792,64.38
Share8,15-May-17,1603.65,1597.95,1624,1555.6,1589.95,1582.15,1589.52,16525,26266897.2,2713,55.51
Share9,2-May-17,616.25,625,625.05,610,614,611.45,614.08,1646,1010771.2,158,54.07
Share9,3-May-17,611.45,613.85,647,612,638,643.95,632.82,14434,9134152.15,1650,69.96
Share9,4-May-17,643.95,642.5,659.8,628,630,631.6,647.38,4953,3206480.15,351,57.54
Share9,5-May-17,631.6,632,636.05,615,620,618.55,621.04,1839,1142089.3,127,80.59
Share9,8-May-17,618.55,629,634,607.25,627,621.35,622.27,3910,2433085.35,278,42.92
Share9,9-May-17,621.35,639.85,639.85,622,629,628.3,629.25,1745,1098048.4,216,65.62
Share9,10-May-17,628.3,631.9,632,617.7,618,623.65,625.59,1263,790120.95,105,69.04
Share9,11-May-17,623.65,618,624.75,601.15,608.5,610.25,610.57,3681,2247525.55,251,49.8
Share9,12-May-17,610.25,610,618,598.1,605,604.75,602.76,2066,1245292.45,196,70.67
Share9,15-May-17,604.75,620,622.7,600.3,603,608.4,612.94,1435,879570.75,178,58.05
Share10,2-May-17,349.1,353,363.1,349.1,360,359.75,358.66,216177,77533111.4,8888,54.61
Share10,3-May-17,359.75,364.85,372,364,371.95,371.2,368.95,231142,85279177.5,5146,59.74
Share10,4-May-17,371.2,375,409,374.95,398,399.15,395.75,1535538,607688562.7,27915,38.75
Share10,5-May-17,399.15,396.5,400,391,394,394.8,395.31,311154,123002751.6,8980,56.31
Share10,8-May-17,394.8,393.4,406.7,392.4,397.3,400.65,399.12,331617,132356629,8632,50.46
Share10,9-May-17,400.65,399.9,404.5,398.25,403,402.5,402.23,147787,59444763.8,3697,51.71
Share10,10-May-17,402.5,406.1,416.95,404.95,411,410.55,412.87,485085,200275766.8,6601,51.55
Share10,11-May-17,410.55,414.8,418.4,400.55,407,405.85,410.1,150523,61730072.4,6058,51.09
Share10,12-May-17,405.85,403.35,414.3,395,398,399.45,404.3,211097,85346556,11066,41.33
Share10,15-May-17,399.45,405.5,410,396,403,402.75,403.19,169463,68326214.75,6916,48.11
Share11,2-May-17,997,1011,1015.8,992,1003,1001.35,1002.53,178802,179254744.6,12915,58.15
Share11,3-May-17,1001.35,1045,1096.8,1030,1055.15,1054.6,1060.42,1816244,1925981150,54127,30.13
Share11,4-May-17,1054.6,1054.25,1081.8,1054.25,1057.05,1060.65,1066.21,299253,319067276.9,10242,30.98
Share11,5-May-17,1060.65,1057,1057.95,1008,1033.7,1031,1031.38,211006,217627732.3,8265,39.85
Share11,8-May-17,1031,1051.6,1064.75,1035.25,1056,1050,1052.89,188182,198135712.4,11438,35.48
Share11,9-May-17,1050,1055,1082.85,1053.65,1069,1065.85,1071.47,355984,381424613.9,25172,40.35
Share11,10-May-17,1065.85,1076,1076,1058,1059,1063,1066.53,121605,129695480.9,7217,57.34
Share11,11-May-17,1063,1065.1,1069.7,1045,1045,1048.4,1052.45,99137,104336894.9,6181,43.57
Share11,12-May-17,1048.4,1052.65,1078,1037.95,1048,1052.25,1061.08,240925,255641411.5,12631,26.22
Share11,15-May-17,1052.25,1068,1070.9,1046.75,1066,1066.05,1055.68,145671,153782519.7,10148,46.56
Share12,2-May-17,903.95,901.9,929.8,896,917.95,916.5,909.4,33430,30401105.8,1582,71.39
Share12,3-May-17,916.5,906.65,920,895,895,897.2,904.89,22923,20742734.8,2259,62.79
Share12,4-May-17,897.2,912.95,925,885.3,891.2,896.95,904.72,20447,18498837.3,1232,55.99
Share12,5-May-17,896.95,895.05,902.65,869.05,876,883.85,887.82,39117,34728786.25,2807,49.41
Share12,8-May-17,883.85,884,899.65,875.55,885.5,894.65,885.7,18642,16511268.65,1066,57.38
Share12,9-May-17,894.65,894,904.95,888,893,896.85,899.64,12878,11585574.15,1793,51.08
Share12,10-May-17,896.85,900,903.95,890,898.2,898.65,899.48,18442,16588166.65,916,65.04
Share12,11-May-17,898.65,898.55,901.5,887.5,899.75,898.4,897,15569,13965347.75,1215,45.17
Share12,12-May-17,898.4,898.4,914,892.2,909.8,910.65,904.69,26360,23847504.6,1327,63.89
Share12,15-May-17,910.65,920,920,896.95,900.45,904.45,907.45,46894,42553787.1,1635,35.42
Share13,2-May-17,628.4,629.9,636.55,623,628.6,626.75,628.61,678683,426623835.8,23121,37.32
Share13,3-May-17,626.75,629.7,632.1,622.65,624,624.75,625.74,605083,378622008.7,18206,51.7
Share13,4-May-17,624.75,625.25,632.55,625,626.05,626.9,627.91,370345,232543563,11650,29.76
Share13,5-May-17,626.9,626.5,634,623.05,625.65,625.95,627.23,750235,470572589.9,16359,49.88
Share13,8-May-17,625.95,625.55,629.45,623.2,629.35,626.95,626.68,456711,286211318.2,7590,51.59
Share13,9-May-17,626.95,629.5,638.9,629.1,631.45,632.05,633.73,742101,470293345.1,16744,37.14
Share13,10-May-17,632.05,634,642.15,632.95,637.3,637.35,638.44,517605,330460966,18378,36.23
Share13,11-May-17,637.35,638,644.7,634.35,635,635.2,638.46,748146,477661800.1,35292,48.88
Share13,12-May-17,635.2,633.7,635.05,624.55,625,625.85,627.81,501407,314789590.4,19246,49.29
Share13,15-May-17,625.85,628.5,630.95,621,624.1,624.25,626.21,393660,246515668.2,11000,42.99
Share14,2-May-17,736.5,737.25,762.9,737.25,749.65,752.3,750.44,1808851,1357433667,40605,43.19
Share14,3-May-17,752.3,753,762,746.8,758.5,756.85,754.74,1083002,817386526,24359,47.82
Share14,4-May-17,756.85,762.2,793,762.2,772,773.25,780.32,2607954,2035030961,43004,20.65
Share14,5-May-17,773.25,778,814.4,766.1,806.55,808.9,796.1,4332891,3449418087,72556,24.63
Share14,8-May-17,808.9,823.65,824.5,770.2,780.05,780.15,788.35,3972924,3132069040,72004,24.24
Share14,9-May-17,780.15,782.9,793,775.6,780,780.05,783.09,1199297,939161209.3,32723,28.82
Share14,10-May-17,780.05,781.9,795,780,789,790.85,788.12,1251054,985979581,22605,26.05
Share14,11-May-17,790.85,789.7,790.5,756,763,761.8,773.79,1038372,803476842.4,25110,46.79
Share14,12-May-17,761.8,763.9,768,736.7,752.8,751.8,754.67,1137225,858228267.8,25970,36.24
Share14,15-May-17,751.8,755.5,761.45,744,750.2,752.15,753.35,617269,465020005.7,15677,31.4
Share15,2-May-17,167.65,169.3,169.3,163.5,164,164.6,165.71,1499775,248522063.4,15820,73.66
Share15,3-May-17,164.6,165,168.3,162.2,164.8,165.45,165.68,1577520,261356801.4,14452,73.41
Share15,4-May-17,165.45,166.4,173.1,165.2,166.8,167.1,170.35,8428938,1435830894,28338,72.82
Share15,5-May-17,167.1,167.5,170.9,164.6,170.15,169.65,167.99,1692083,284247149.8,16468,50.54
Share15,8-May-17,169.65,170.7,177.3,168.5,176.4,176.8,174.71,2362984,412833231.7,16365,47.19
Share15,9-May-17,176.8,177.7,179.75,175.6,179.3,178.5,178.32,1223038,218096843.1,11281,45.56
Share15,10-May-17,178.5,179.75,182.6,178.85,181.2,181.35,181.03,1732496,313634685.6,15902,52.3
Share15,11-May-17,181.35,182.4,184.5,178.65,181.6,182.2,182.73,1861319,340123173.9,15517,40.9
Share15,12-May-17,182.2,182.45,182.8,177.1,180,179.4,179.64,1457612,261847118.2,30196,55.51
Share15,15-May-17,179.4,181.4,189.75,178.4,188.55,188.15,183.52,4978930,913736628,31012,58.45
Share16,2-May-17,166.4,167,171.8,164.3,171.65,170.5,167.88,2773802,465671525.1,15405,41.05
Share16,3-May-17,170.5,171.9,172.75,168.25,169.8,169.95,170.64,2816277,480581564.7,28580,43.69
Share16,4-May-17,169.95,170.8,170.8,167.1,170.2,169.85,169.27,1544999,261516649.8,9549,30.64
Share16,5-May-17,169.85,170,170.3,163,166.1,165.9,166.13,1822774,302808637.4,10208,37.27
Share16,8-May-17,165.9,166,168.4,165.25,167.6,167.8,167.16,1191202,199116853.5,9813,29.87
Share16,9-May-17,167.8,167.6,169.75,166.3,167.5,167.55,168.15,1294588,217690221.9,7953,29.87
Share16,10-May-17,167.55,168.05,168.95,167.2,168.2,168.15,168.14,1099288,184839746.5,6488,45.89
Share16,11-May-17,168.15,168.4,169.6,165,165.95,165.8,166.91,1649907,275392984.8,19667,44.78
Share16,12-May-17,165.8,165.3,166.8,163.2,166.3,165.95,164.95,1082356,178535786.3,9157,34.93
Share16,15-May-17,165.95,166.8,169.7,166.3,168.8,168.7,168.5,1419716,239228035.8,11715,40.25
Share17,2-May-17,229.85,231,232.75,227.2,231.9,230.9,230.48,1188775,273986706.6,18451,48.92
Share17,3-May-17,230.9,231,232,220.5,222.3,222.3,225.08,3495621,786779311.7,51980,60.92
Share17,4-May-17,222.3,222.3,238.3,222,238,236.6,230.31,7649812,1761852567,55025,21.48
Share17,5-May-17,236.6,237.95,244.15,233.15,240.8,241.95,239.69,6311503,1512800857,55289,22.74
Share17,8-May-17,241.95,244.8,244.8,237.4,239.55,239,240.02,1861919,446892822.8,17437,35.91
Share17,9-May-17,239,239.05,240.35,235.75,238.25,237.25,237.76,1076590,255966039.7,11004,44.59
Share17,10-May-17,237.25,237.65,247.9,236.25,247.25,247,244.44,3195529,781126116.4,28855,27.41
Share17,11-May-17,247,247.9,250,245,246.45,247.5,247.11,1809932,447252099.9,25772,33.15
Share17,12-May-17,247.5,247,247.5,243.05,245,244.85,245.05,1145431,280686628.3,16745,29.88
Share17,15-May-17,244.85,245.35,247.25,244.2,245.5,245.8,245.63,957470,235182853.4,10111,38.65
Share18,2-May-17,107.6,110,115.35,110,112.3,112.5,113.45,52498477,5955872351,148072,17.52
Share18,3-May-17,112.5,113.7,113.85,110.15,111.85,112.05,111.79,22987164,2569769781,61713,23.3
Share18,4-May-17,112.05,112.85,113.85,111.35,112.6,112.55,112.56,15770969,1775219166,63138,40.57
Share18,5-May-17,112.55,113.5,120,112.5,116.6,116.4,117.25,60770643,7125296373,186330,21.7
Share18,8-May-17,116.4,117.8,119.7,117.5,118.35,118.55,118.68,16344872,1939800835,52031,31.23
Share18,9-May-17,118.55,118.85,118.95,115.5,118.45,118.05,117.21,10864570,1273434455,48226,29.35
Share18,10-May-17,118.05,119.15,119.4,116.5,117.15,117.15,117.61,9361120,1100996219,30333,40.22
Share18,11-May-17,117.15,118.25,118.25,115.3,116.1,116,116.45,12038623,1401851840,40685,41.11
Share18,12-May-17,116,116.55,117.15,113.65,115,114.9,115.08,9838564,1132253712,37581,39.63
Share18,15-May-17,114.9,115.35,117.55,114.9,117.3,117.25,116.24,7031563,817374137.9,33429,30.13
Share19,2-May-17,526.1,527,536.1,521,524.65,527.35,530.29,49790,26403206.75,4602,74.25
Share19,3-May-17,527.35,527.35,531.9,520.2,527,528.15,526.73,47462,24999652.05,6501,64.05
Share19,4-May-17,528.15,532.8,532.8,524.9,528,527.45,527.74,43986,23213108.9,2460,53.67
Share19,5-May-17,527.45,521,532,521,525.5,524.2,527.73,59571,31437497.65,2352,67.8
Share19,8-May-17,524.2,528.65,530,518.9,525,525.8,524.67,27487,14421552.5,1507,58.63
Share19,9-May-17,525.8,529,529,520.1,526.9,526.95,525.48,22934,12051464.05,1516,54.42
Share19,10-May-17,526.95,528,537,526,535.25,535.65,531.13,115968,61593818.35,4946,82.3
Share19,11-May-17,535.65,538.4,542,531,534.4,533.55,538.61,45085,24283326.6,3100,61.71
Share19,12-May-17,533.55,533.6,543,533.6,540,539.25,539.92,51030,27551948.3,2802,63.94
Share19,15-May-17,539.25,540,542.8,536.85,537,537.95,538.56,75074,40431676.25,2846,90.16
Share20,2-May-17,578.05,583.95,583.95,564.05,565,565.35,567.72,60736,34481008.7,1881,85.23
Share20,3-May-17,565.35,570.75,570.75,554,554.2,557.1,558.37,105611,58970062.1,1564,80.83
Share20,4-May-17,557.1,553,561.3,551.15,554.7,552.05,552.44,163246,90183364.55,1912,92.32
Share20,5-May-17,552.05,557,585,551.2,575,576.7,573.42,76490,43860612.6,3221,38.67
Share20,8-May-17,576.7,578,584,561.05,568.5,565.05,570.25,19581,11166157.15,967,41.41
Share20,9-May-17,565.05,570,601.85,565.05,594,590.4,590.28,195981,115683532.6,10006,38.33
Share20,10-May-17,590.4,593.5,606.8,589,590,592.9,600.15,98526,59130540,3287,49.13
Share20,11-May-17,592.9,602,609.45,594.1,595,596.8,602.19,49128,29584512.65,2067,49.02
Share20,12-May-17,596.8,608,608,585,590,589.25,592.77,38499,22820979.25,1496,63.3
Share20,15-May-17,589.25,598.75,606,588.8,602,603.3,598.91,36963,22137542.5,2348,63.3
Share21,2-May-17,301.95,307,320,306.6,315.9,314.65,313.46,2332766,731240145,47906,45.62
Share21,3-May-17,314.65,316.1,318.7,313,315.5,315.25,316.1,688944,217774278.5,8698,54.41
Share21,4-May-17,315.25,316.5,322.7,314.1,317,319.5,318.73,1418856,452230549.8,12978,39.89
Share21,5-May-17,319.5,320.95,321.55,306.25,313,312.85,314.24,852514,267889985.1,11664,45.93
Share21,8-May-17,312.85,312.85,314.3,305.6,308,307.95,308.93,435790,134628565.9,5063,48.23
Share21,9-May-17,307.95,310.8,315.85,309.3,311.5,310.8,312.55,647506,202380843.4,13199,37.52
Share21,10-May-17,310.8,312.35,321.15,312,317.7,316.85,316.88,953824,302251098,9749,49.95
Share21,11-May-17,316.85,317.65,319,309.3,311,310.8,313.38,409863,128441858.3,5837,54.65
Share21,12-May-17,310.8,312,312,303.65,307.85,307.6,307.25,338807,104098185.8,5818,43.32
Share21,15-May-17,307.6,310.5,313.8,304.45,304.5,305.05,308.07,515869,158923376.7,8031,51
Share22,2-May-17,397.95,399.95,400,389.5,391.6,391.7,394.19,198087,78083370.3,6323,61.74
Share22,3-May-17,391.7,395,404.8,393.55,403,402.65,401.17,251940,101071458.2,7307,50.55
Share22,4-May-17,402.65,403,421,403,414.55,416.35,415.54,591250,245686244.5,13573,37.57
Share22,5-May-17,416.35,418,427.8,416.35,419,421,422.05,434362,183323480.8,19161,55.98
Share22,8-May-17,421,423,423.55,412.5,414,414.45,415.42,223162,92706811.25,3386,80.36
Share22,9-May-17,414.45,413,422,410.35,413,413.15,415.18,136927,56848672.15,5137,42.12
Share22,10-May-17,413.15,413.7,432.85,413.7,421.35,421.1,423.72,323401,137031070.4,10824,44.37
Share22,11-May-17,421.1,426,426,420,424,423,422.84,84963,35925924.85,2925,51.51
Share22,12-May-17,423,422,423,414.05,419,418.45,417.45,93495,39029894.55,2324,62.73
Share22,15-May-17,418.45,418,420.9,411.1,417,417.35,415.11,114339,47462748.5,3519,56.51
Share23,2-May-17,181,182.55,187.25,181.2,184.25,183.6,184.18,553248,101898205.8,6479,43.98
Share23,3-May-17,183.6,186.9,188.15,181.75,183.5,183.8,184.89,488673,90350099.85,7386,45.73
Share23,4-May-17,183.8,184,186.4,182.4,183.85,182.95,184.1,347809,64031814.2,4567,35.38
Share23,5-May-17,182.95,183.95,185.8,181.6,184.1,183.35,183.42,344466,63180587.35,7332,49.85
Share23,8-May-17,183.35,183.3,184.4,172,174.25,174.1,176.67,893960,157933246.1,5652,38.72
Share23,9-May-17,174.1,175.15,177.3,169.45,170,170.55,172.45,524377,90431139.1,6837,67.27
Share23,10-May-17,170.55,171.4,181.5,171.4,179.8,178.35,176.9,1232881,218091089.6,14120,45.73
Share23,11-May-17,178.35,179.35,181.85,174.8,179,177.35,179.52,534288,95916794.95,8958,48.82
Share23,12-May-17,177.35,176.4,178.2,171.7,173.25,173.25,173.89,287405,49977944.05,3829,49.06
Share23,15-May-17,173.25,174.5,177.55,172.5,177.55,176.75,175.87,211562,37206965.8,3606,40.22
Share24,2-May-17,814.1,816.15,825.45,811.7,822.1,822.05,821,861366,707179486.2,46267,65.56
Share24,3-May-17,822.05,824.95,837.5,821,836,835.1,831.45,994932,827233218.9,27341,52.41
Share24,4-May-17,835.1,836.1,842.6,808.15,815.85,818,820.6,1379248,1131805391,36997,58.69
Share24,5-May-17,818,820.95,832,814.3,828,829.6,824.66,928408,765617983,39184,64.28
Share24,8-May-17,829.6,829.85,845,825.7,842,840.2,835.77,790817,660943809.4,55658,72.7
Share24,9-May-17,840.2,845,854.85,839.95,849,849.75,849.48,907261,770699490.9,35511,64.06
Share24,10-May-17,849.75,848.75,850.9,838.1,841.1,843.6,843.31,757706,638982329.1,28754,60.01
Share24,11-May-17,843.6,857.8,858.8,835.6,841.45,838.7,843.14,3514917,2963566864,88032,51.64
Share24,12-May-17,838.7,840,848.2,839.05,847.5,847.65,844.58,1647701,1391621134,40459,59.25
Share24,15-May-17,847.65,848.5,850,845,847.05,848.55,848.03,687573,583084609.8,29220,65.25
Share25,2-May-17,1546.5,1547,1550.9,1530.35,1542.85,1540.6,1540.81,1001760,1543518050,17111,65.38
Share25,3-May-17,1540.6,1554.25,1554.25,1539.35,1541.05,1544.3,1543.93,626991,968031267.2,13977,52.51
Share25,4-May-17,1544.3,1539.25,1542.9,1522.6,1533.5,1534.8,1529.35,1282757,1961782632,28722,59.93
Share25,5-May-17,1534.8,1542.1,1542.9,1526.3,1531,1532.2,1531.86,689474,1056176851,20311,46.71
Share25,8-May-17,1532.2,1538,1540,1528.55,1532.6,1534.8,1533.56,936813,1436656655,35872,64.4
Share25,9-May-17,1534.8,1534.8,1545.6,1532.65,1533.9,1535.75,1537.87,836459,1286367998,25182,71.22
Share25,10-May-17,1535.75,1540,1555,1537.05,1554,1551.8,1548.16,585561,906540275.6,11399,52.61
Share25,11-May-17,1551.8,1551,1560,1541,1543,1546.4,1551.42,968936,1503227835,26482,64.9
Share25,12-May-17,1546.4,1545.9,1556.9,1536.2,1554,1551.65,1542.32,1536901,2370390261,18358,64.78
Share25,15-May-17,1551.65,1550,1557.2,1542.25,1553,1553.4,1550.73,701195,1087367600,15104,44.11
Share26,2-May-17,205.15,206.9,208.8,200.8,206,204.55,204.88,1039728,213018030.9,7527,40.62
Share26,3-May-17,204.55,205.5,210.05,203.3,205.75,206.05,207.41,2311827,479490411.5,14587,44.93
Share26,4-May-17,206.05,206.2,208.5,204.5,207.35,207.15,207.08,679535,140717855.5,6255,29.95
Share26,5-May-17,207.15,205.95,207.95,198.2,201,201.35,202.5,899439,182139249.4,7050,30.97
Share26,8-May-17,201.35,202.15,204.9,199.65,204.15,204.2,202.81,489710,99316955.4,3294,42.63
Share26,9-May-17,204.2,204.85,208,202,202,203.15,205.15,2518137,516605275.7,9553,53.86
Share26,10-May-17,203.15,203.95,207.9,201.25,203.2,203.75,204.51,1764730,360904623.4,12174,33.87
Share26,11-May-17,203.75,204.7,206.9,203.1,203.5,204,204.5,2466901,504470212.7,7112,67.14
Share26,12-May-17,204,205,206,196.75,197.95,198.35,201.42,1258544,253498604,8123,43.05
Share26,15-May-17,198.35,199.9,200,192.1,194.2,193.55,194.91,1100044,214409148.5,9118,27.44
Share27,2-May-17,1444.95,1454,1455,1440.15,1450,1445.8,1447.08,955073,1382069046,49361,79.33
