Date,Open,Share
18-Apr-16,1266.0,Share1
20-Apr-16,1281.0,Share1
21-Apr-16,1293.0,Share1
22-Apr-16,1244.4,Share1
25-Apr-16,1234.15,Share1
26-Apr-16,1226.0,Share1
27-Apr-16,1228.0,Share1
28-Apr-16,1219.8,Share1
29-Apr-16,1193.0,Share1
2-May-16,1152.5,Share1
3-May-16,1259.8,Share1
4-May-16,1215.0,Share1
5-May-16,1215.0,Share1
6-May-16,1240.5,Share1
9-May-16,1241.0,Share1
10-May-16,1248.0,Share1
11-May-16,1229.0,Share1
12-May-16,1214.8,Share1
13-May-16,1182.0,Share1
16-May-16,1195.0,Share1
17-May-16,1194.0,Share1
18-May-16,1190.0,Share1
19-May-16,1220.0,Share1
20-May-16,1220.05,Share1
23-May-16,1243.0,Share1
24-May-16,1250.0,Share1
25-May-16,1230.5,Share1
26-May-16,1232.0,Share1
27-May-16,1265.0,Share1
30-May-16,1220.0,Share1
31-May-16,1268.0,Share1
1-Jun-16,1264.0,Share1
2-Jun-16,1278.1,Share1
3-Jun-16,1310.0,Share1
6-Jun-16,1365.0,Share1
7-Jun-16,1374.0,Share1
8-Jun-16,1364.0,Share1
9-Jun-16,1367.55,Share1
10-Jun-16,1377.0,Share1
13-Jun-16,1381.65,Share1
14-Jun-16,1375.15,Share1
15-Jun-16,1365.05,Share1
16-Jun-16,1352.45,Share1
17-Jun-16,1385.0,Share1
20-Jun-16,1381.8,Share1
21-Jun-16,1390.0,Share1
22-Jun-16,1369.5,Share1
23-Jun-16,1374.0,Share1
24-Jun-16,1350.0,Share1
27-Jun-16,1383.0,Share1
28-Jun-16,1372.0,Share1
29-Jun-16,1380.05,Share1
30-Jun-16,1379.95,Share1
1-Jul-16,1387.0,Share1
4-Jul-16,1384.9,Share1
5-Jul-16,1362.0,Share1
7-Jul-16,1356.0,Share1
8-Jul-16,1363.0,Share1
11-Jul-16,1372.0,Share1
12-Jul-16,1370.0,Share1
13-Jul-16,1392.25,Share1
14-Jul-16,1420.0,Share1
15-Jul-16,1424.8,Share1
18-Jul-16,1400.6,Share1
19-Jul-16,1402.6,Share1
20-Jul-16,1480.0,Share1
21-Jul-16,1538.95,Share1
22-Jul-16,1542.25,Share1
25-Jul-16,1577.0,Share1
26-Jul-16,1519.0,Share1
27-Jul-16,1511.0,Share1
28-Jul-16,1529.0,Share1
29-Jul-16,1520.65,Share1
1-Aug-16,1580.0,Share1
2-Aug-16,1533.0,Share1
3-Aug-16,1540.0,Share1
4-Aug-16,1534.7,Share1
5-Aug-16,1513.0,Share1
8-Aug-16,1519.0,Share1
9-Aug-16,1595.0,Share1
10-Aug-16,1590.0,Share1
11-Aug-16,1568.0,Share1
12-Aug-16,1615.0,Share1
16-Aug-16,1578.4,Share1
17-Aug-16,1550.0,Share1
18-Aug-16,1539.85,Share1
19-Aug-16,1549.85,Share1
22-Aug-16,1532.0,Share1
23-Aug-16,1529.95,Share1
24-Aug-16,1510.0,Share1
25-Aug-16,1544.7,Share1
26-Aug-16,1531.1,Share1
29-Aug-16,1549.8,Share1
30-Aug-16,1548.0,Share1
31-Aug-16,1559.95,Share1
1-Sep-16,1554.5,Share1
2-Sep-16,1576.8,Share1
6-Sep-16,1640.0,Share1
7-Sep-16,1646.0,Share1
8-Sep-16,1603.1,Share1
9-Sep-16,1646.0,Share1
12-Sep-16,1585.0,Share1
14-Sep-16,1616.0,Share1
15-Sep-16,1633.85,Share1
16-Sep-16,1634.7,Share1
19-Sep-16,1705.0,Share1
20-Sep-16,1735.0,Share1
21-Sep-16,1708.0,Share1
22-Sep-16,1720.0,Share1
23-Sep-16,1740.0,Share1
26-Sep-16,1765.55,Share1
27-Sep-16,1845.0,Share1
28-Sep-16,1808.0,Share1
29-Sep-16,1855.0,Share1
30-Sep-16,1694.3,Share1
3-Oct-16,1700.0,Share1
4-Oct-16,1693.1,Share1
5-Oct-16,1666.25,Share1
6-Oct-16,1682.8,Share1
7-Oct-16,1677.9,Share1
10-Oct-16,1672.65,Share1
13-Oct-16,1695.0,Share1
14-Oct-16,1678.8,Share1
17-Oct-16,1702.0,Share1
18-Oct-16,1743.8,Share1
19-Oct-16,1735.4,Share1
20-Oct-16,1699.8,Share1
21-Oct-16,1655.0,Share1
24-Oct-16,1671.7,Share1
25-Oct-16,1680.0,Share1
26-Oct-16,1674.0,Share1
27-Oct-16,1669.8,Share1
28-Oct-16,1629.95,Share1
30-Oct-16,1645.0,Share1
1-Nov-16,1662.0,Share1
2-Nov-16,1662.95,Share1
3-Nov-16,1640.0,Share1
4-Nov-16,1607.0,Share1
7-Nov-16,1580.0,Share1
8-Nov-16,1593.95,Share1
9-Nov-16,1484.0,Share1
10-Nov-16,1637.1,Share1
11-Nov-16,1639.8,Share1
15-Nov-16,1611.55,Share1
16-Nov-16,1655.0,Share1
17-Nov-16,1655.0,Share1
18-Nov-16,1610.0,Share1
21-Nov-16,1644.0,Share1
22-Nov-16,1634.0,Share1
23-Nov-16,1697.8,Share1
24-Nov-16,1705.35,Share1
25-Nov-16,1724.0,Share1
28-Nov-16,1690.05,Share1
29-Nov-16,1686.55,Share1
30-Nov-16,1724.7,Share1
1-Dec-16,1700.0,Share1
2-Dec-16,1705.0,Share1
5-Dec-16,1681.0,Share1
6-Dec-16,1710.0,Share1
7-Dec-16,1700.0,Share1
8-Dec-16,1680.0,Share1
9-Dec-16,1665.0,Share1
12-Dec-16,1668.45,Share1
13-Dec-16,1625.0,Share1
14-Dec-16,1640.0,Share1
15-Dec-16,1618.0,Share1
16-Dec-16,1638.0,Share1
19-Dec-16,1623.8,Share1
20-Dec-16,1630.0,Share1
21-Dec-16,1643.95,Share1
22-Dec-16,1631.0,Share1
23-Dec-16,1600.0,Share1
26-Dec-16,1594.95,Share1
27-Dec-16,1565.0,Share1
28-Dec-16,1645.0,Share1
29-Dec-16,1617.95,Share1
30-Dec-16,1628.0,Share1
2-Jan-17,1626.0,Share1
3-Jan-17,1635.0,Share1
4-Jan-17,1655.15,Share1
5-Jan-17,1670.9,Share1
6-Jan-17,1664.9,Share1
9-Jan-17,1669.0,Share1
10-Jan-17,1696.15,Share1
11-Jan-17,1673.05,Share1
12-Jan-17,1690.0,Share1
13-Jan-17,1678.0,Share1
16-Jan-17,1663.0,Share1
17-Jan-17,1668.8,Share1
18-Jan-17,1653.2,Share1
19-Jan-17,1640.0,Share1
20-Jan-17,1654.0,Share1
23-Jan-17,1631.05,Share1
24-Jan-17,1633.0,Share1
25-Jan-17,1655.0,Share1
27-Jan-17,1640.0,Share1
30-Jan-17,1659.9,Share1
31-Jan-17,1655.0,Share1
1-Feb-17,1667.0,Share1
2-Feb-17,1686.3,Share1
3-Feb-17,1768.0,Share1
6-Feb-17,1834.0,Share1
7-Feb-17,1822.0,Share1
8-Feb-17,1814.9,Share1
9-Feb-17,1820.05,Share1
10-Feb-17,1814.0,Share1
13-Feb-17,1829.7,Share1
14-Feb-17,1845.0,Share1
15-Feb-17,1861.1,Share1
16-Feb-17,1979.0,Share1
17-Feb-17,2010.2,Share1
20-Feb-17,1990.8,Share1
21-Feb-17,2020.5,Share1
22-Feb-17,2006.9,Share1
23-Feb-17,2006.15,Share1
27-Feb-17,2077.9,Share1
28-Feb-17,2121.0,Share1
1-Mar-17,2154.35,Share1
2-Mar-17,2144.0,Share1
3-Mar-17,2123.0,Share1
6-Mar-17,2128.0,Share1
7-Mar-17,2103.95,Share1
8-Mar-17,2048.0,Share1
9-Mar-17,1980.0,Share1
10-Mar-17,1994.95,Share1
14-Mar-17,1981.0,Share1
15-Mar-17,1945.95,Share1
16-Mar-17,1930.0,Share1
17-Mar-17,1960.0,Share1
20-Mar-17,2030.0,Share1
21-Mar-17,2119.95,Share1
22-Mar-17,2124.8,Share1
23-Mar-17,2179.95,Share1
24-Mar-17,2199.0,Share1
27-Mar-17,2205.0,Share1
28-Mar-17,2211.2,Share1
29-Mar-17,2194.0,Share1
30-Mar-17,2193.95,Share1
31-Mar-17,2173.0,Share1
3-Apr-17,2207.05,Share1
5-Apr-17,2164.0,Share1
6-Apr-17,2206.0,Share1
7-Apr-17,2195.0,Share1
10-Apr-17,2204.0,Share1
11-Apr-17,2120.0,Share1
12-Apr-17,2122.55,Share1
13-Apr-17,2135.35,Share1
17-Apr-17,2110.7,Share1
18-Apr-17,2128.35,Share1
19-Apr-17,2070.0,Share1
20-Apr-17,2058.7,Share1
21-Apr-17,2121.0,Share1
24-Apr-17,2088.0,Share1
25-Apr-17,2007.1,Share1
26-Apr-17,1990.0,Share1
27-Apr-17,1960.0,Share1
28-Apr-17,1924.9,Share1
30-Apr-15,68.7,Share2
4-May-15,70.1,Share2
5-May-15,71.75,Share2
6-May-15,70.2,Share2
7-May-15,66.4,Share2
8-May-15,66.85,Share2
11-May-15,69.6,Share2
12-May-15,75.0,Share2
13-May-15,72.3,Share2
14-May-15,69.3,Share2
15-May-15,71.8,Share2
18-May-15,70.6,Share2
19-May-15,70.8,Share2
20-May-15,71.0,Share2
21-May-15,71.05,Share2
22-May-15,70.0,Share2
25-May-15,69.2,Share2
26-May-15,69.25,Share2
27-May-15,69.0,Share2
28-May-15,71.7,Share2
29-May-15,70.7,Share2
1-Jun-15,71.55,Share2
2-Jun-15,72.25,Share2
3-Jun-15,68.95,Share2
4-Jun-15,67.6,Share2
5-Jun-15,66.8,Share2
8-Jun-15,67.95,Share2
9-Jun-15,66.2,Share2
10-Jun-15,66.45,Share2
11-Jun-15,68.0,Share2
12-Jun-15,64.95,Share2
15-Jun-15,66.3,Share2
16-Jun-15,65.3,Share2
17-Jun-15,65.2,Share2
18-Jun-15,66.15,Share2
19-Jun-15,69.15,Share2
22-Jun-15,70.1,Share2
23-Jun-15,70.6,Share2
24-Jun-15,71.75,Share2
25-Jun-15,69.6,Share2
26-Jun-15,69.7,Share2
29-Jun-15,69.5,Share2
30-Jun-15,71.1,Share2
1-Jul-15,72.95,Share2
2-Jul-15,76.4,Share2
3-Jul-15,73.9,Share2
6-Jul-15,70.35,Share2
7-Jul-15,74.0,Share2
8-Jul-15,72.0,Share2
9-Jul-15,71.75,Share2
10-Jul-15,71.95,Share2
13-Jul-15,72.0,Share2
14-Jul-15,72.8,Share2
15-Jul-15,74.55,Share2
16-Jul-15,74.8,Share2
17-Jul-15,74.65,Share2
20-Jul-15,75.25,Share2
21-Jul-15,78.5,Share2
22-Jul-15,79.05,Share2
23-Jul-15,81.95,Share2
24-Jul-15,82.2,Share2
27-Jul-15,80.25,Share2
28-Jul-15,81.5,Share2
29-Jul-15,84.0,Share2
30-Jul-15,85.7,Share2
31-Jul-15,84.75,Share2
3-Aug-15,85.6,Share2
4-Aug-15,85.25,Share2
5-Aug-15,88.85,Share2
6-Aug-15,87.6,Share2
7-Aug-15,87.0,Share2
10-Aug-15,87.7,Share2
11-Aug-15,88.1,Share2
12-Aug-15,86.8,Share2
13-Aug-15,89.5,Share2
14-Aug-15,89.2,Share2
17-Aug-15,89.05,Share2
18-Aug-15,92.35,Share2
19-Aug-15,96.85,Share2
20-Aug-15,95.65,Share2
21-Aug-15,93.95,Share2
24-Aug-15,90.9,Share2
25-Aug-15,85.55,Share2
26-Aug-15,86.5,Share2
27-Aug-15,90.0,Share2
28-Aug-15,93.25,Share2
31-Aug-15,92.4,Share2
1-Sep-15,90.3,Share2
2-Sep-15,89.15,Share2
3-Sep-15,87.0,Share2
4-Sep-15,89.0,Share2
7-Sep-15,85.5,Share2
8-Sep-15,82.0,Share2
9-Sep-15,83.8,Share2
10-Sep-15,85.0,Share2
11-Sep-15,88.7,Share2
14-Sep-15,88.35,Share2
15-Sep-15,89.6,Share2
16-Sep-15,88.35,Share2
18-Sep-15,88.8,Share2
21-Sep-15,87.2,Share2
22-Sep-15,89.05,Share2
23-Sep-15,87.95,Share2
24-Sep-15,90.8,Share2
28-Sep-15,91.85,Share2
29-Sep-15,89.3,Share2
30-Sep-15,91.45,Share2
1-Oct-15,93.45,Share2
5-Oct-15,95.3,Share2
6-Oct-15,95.35,Share2
7-Oct-15,94.5,Share2
8-Oct-15,93.75,Share2
9-Oct-15,92.25,Share2
12-Oct-15,92.5,Share2
13-Oct-15,94.3,Share2
14-Oct-15,93.9,Share2
15-Oct-15,95.65,Share2
16-Oct-15,95.3,Share2
19-Oct-15,96.35,Share2
20-Oct-15,95.9,Share2
21-Oct-15,96.5,Share2
23-Oct-15,96.7,Share2
26-Oct-15,95.45,Share2
27-Oct-15,92.45,Share2
28-Oct-15,93.0,Share2
29-Oct-15,90.95,Share2
30-Oct-15,94.0,Share2
2-Nov-15,94.0,Share2
3-Nov-15,90.5,Share2
4-Nov-15,91.8,Share2
5-Nov-15,91.0,Share2
6-Nov-15,85.6,Share2
9-Nov-15,83.0,Share2
10-Nov-15,88.7,Share2
11-Nov-15,90.3,Share2
13-Nov-15,90.5,Share2
16-Nov-15,90.3,Share2
17-Nov-15,90.95,Share2
18-Nov-15,92.3,Share2
19-Nov-15,92.9,Share2
20-Nov-15,93.0,Share2
23-Nov-15,93.65,Share2
24-Nov-15,96.25,Share2
26-Nov-15,94.9,Share2
27-Nov-15,97.0,Share2
30-Nov-15,98.4,Share2
1-Dec-15,95.5,Share2
2-Dec-15,93.5,Share2
3-Dec-15,92.5,Share2
4-Dec-15,91.9,Share2
7-Dec-15,91.0,Share2
8-Dec-15,90.1,Share2
9-Dec-15,89.55,Share2
10-Dec-15,87.2,Share2
11-Dec-15,89.75,Share2
14-Dec-15,85.5,Share2
15-Dec-15,86.5,Share2
16-Dec-15,87.85,Share2
17-Dec-15,88.95,Share2
18-Dec-15,88.5,Share2
21-Dec-15,89.6,Share2
22-Dec-15,89.8,Share2
23-Dec-15,88.85,Share2
24-Dec-15,88.4,Share2
28-Dec-15,88.3,Share2
29-Dec-15,89.45,Share2
30-Dec-15,90.0,Share2
31-Dec-15,89.6,Share2
1-Jan-16,87.85,Share2
4-Jan-16,90.75,Share2
5-Jan-16,93.0,Share2
6-Jan-16,93.25,Share2
7-Jan-16,91.9,Share2
8-Jan-16,92.1,Share2
11-Jan-16,92.0,Share2
12-Jan-16,93.35,Share2
13-Jan-16,93.05,Share2
14-Jan-16,88.0,Share2
15-Jan-16,89.3,Share2
18-Jan-16,85.2,Share2
19-Jan-16,83.4,Share2
20-Jan-16,85.3,Share2
21-Jan-16,85.0,Share2
22-Jan-16,85.0,Share2
25-Jan-16,86.9,Share2
27-Jan-16,87.2,Share2
28-Jan-16,88.5,Share2
29-Jan-16,88.4,Share2
1-Feb-16,89.8,Share2
2-Feb-16,91.8,Share2
3-Feb-16,88.55,Share2
4-Feb-16,88.3,Share2
5-Feb-16,88.05,Share2
8-Feb-16,90.85,Share2
9-Feb-16,88.0,Share2
10-Feb-16,87.8,Share2
11-Feb-16,87.95,Share2
12-Feb-16,84.5,Share2
15-Feb-16,85.0,Share2
16-Feb-16,90.5,Share2
17-Feb-16,87.5,Share2
18-Feb-16,90.9,Share2
19-Feb-16,89.35,Share2
22-Feb-16,91.9,Share2
23-Feb-16,92.35,Share2
24-Feb-16,88.55,Share2
25-Feb-16,88.0,Share2
26-Feb-16,87.4,Share2
29-Feb-16,85.85,Share2
1-Mar-16,88.2,Share2
2-Mar-16,92.5,Share2
3-Mar-16,94.2,Share2
4-Mar-16,94.85,Share2
8-Mar-16,93.85,Share2
9-Mar-16,91.2,Share2
10-Mar-16,97.6,Share2
11-Mar-16,96.05,Share2
14-Mar-16,97.9,Share2
15-Mar-16,97.45,Share2
16-Mar-16,96.0,Share2
17-Mar-16,97.0,Share2
18-Mar-16,96.0,Share2
21-Mar-16,97.5,Share2
22-Mar-16,103.95,Share2
23-Mar-16,103.95,Share2
28-Mar-16,106.55,Share2
29-Mar-16,105.4,Share2
30-Mar-16,108.0,Share2
31-Mar-16,108.95,Share2
1-Apr-16,108.4,Share2
4-Apr-16,111.0,Share2
5-Apr-16,109.0,Share2
6-Apr-16,109.0,Share2
7-Apr-16,107.55,Share2
8-Apr-16,106.35,Share2
11-Apr-16,107.9,Share2
12-Apr-16,110.65,Share2
13-Apr-16,112.5,Share2
18-Apr-16,109.25,Share2
20-Apr-16,109.2,Share2
21-Apr-16,108.5,Share2
22-Apr-16,106.55,Share2
25-Apr-16,105.4,Share2
26-Apr-16,105.3,Share2
27-Apr-16,107.65,Share2
28-Apr-16,107.95,Share2
29-Apr-16,106.0,Share2
2-May-16,106.9,Share2
3-May-16,106.95,Share2
4-May-16,104.8,Share2
5-May-16,101.95,Share2
6-May-16,102.4,Share2
9-May-16,104.75,Share2
10-May-16,104.95,Share2
11-May-16,104.0,Share2
12-May-16,104.2,Share2
13-May-16,104.0,Share2
16-May-16,102.9,Share2
17-May-16,104.05,Share2
18-May-16,102.2,Share2
19-May-16,102.4,Share2
20-May-16,102.5,Share2
23-May-16,100.0,Share2
24-May-16,100.55,Share2
25-May-16,103.6,Share2
26-May-16,99.0,Share2
27-May-16,105.1,Share2
30-May-16,107.3,Share2
31-May-16,106.1,Share2
1-Jun-16,110.0,Share2
2-Jun-16,104.15,Share2
3-Jun-16,106.0,Share2
6-Jun-16,106.5,Share2
7-Jun-16,105.65,Share2
8-Jun-16,106.05,Share2
9-Jun-16,105.95,Share2
10-Jun-16,107.6,Share2
13-Jun-16,104.25,Share2
14-Jun-16,105.1,Share2
15-Jun-16,105.0,Share2
16-Jun-16,103.0,Share2
17-Jun-16,100.25,Share2
20-Jun-16,98.0,Share2
21-Jun-16,100.05,Share2
22-Jun-16,102.5,Share2
23-Jun-16,99.9,Share2
24-Jun-16,96.0,Share2
27-Jun-16,96.0,Share2
28-Jun-16,98.55,Share2
29-Jun-16,99.6,Share2
30-Jun-16,99.55,Share2
1-Jul-16,99.1,Share2
4-Jul-16,100.45,Share2
5-Jul-16,96.0,Share2
7-Jul-16,92.0,Share2
8-Jul-16,93.8,Share2
11-Jul-16,95.0,Share2
12-Jul-16,94.3,Share2
13-Jul-16,93.05,Share2
14-Jul-16,91.5,Share2
15-Jul-16,91.9,Share2
18-Jul-16,92.4,Share2
19-Jul-16,93.75,Share2
20-Jul-16,93.85,Share2
21-Jul-16,93.5,Share2
22-Jul-16,98.25,Share2
25-Jul-16,97.0,Share2
26-Jul-16,96.45,Share2
27-Jul-16,94.8,Share2
28-Jul-16,95.2,Share2
29-Jul-16,94.3,Share2
1-Aug-16,96.35,Share2
2-Aug-16,90.9,Share2
3-Aug-16,88.1,Share2
4-Aug-16,87.0,Share2
5-Aug-16,87.0,Share2
8-Aug-16,88.55,Share2
9-Aug-16,89.5,Share2
10-Aug-16,89.95,Share2
11-Aug-16,87.55,Share2
12-Aug-16,87.7,Share2
16-Aug-16,86.9,Share2
17-Aug-16,86.35,Share2
18-Aug-16,86.85,Share2
19-Aug-16,87.85,Share2
22-Aug-16,87.45,Share2
23-Aug-16,87.2,Share2
24-Aug-16,87.85,Share2
25-Aug-16,89.0,Share2
26-Aug-16,87.05,Share2
29-Aug-16,87.8,Share2
30-Aug-16,87.9,Share2
31-Aug-16,88.5,Share2
1-Sep-16,87.7,Share2
2-Sep-16,83.6,Share2
6-Sep-16,83.3,Share2
7-Sep-16,86.0,Share2
8-Sep-16,88.65,Share2
9-Sep-16,87.9,Share2
12-Sep-16,85.25,Share2
14-Sep-16,83.9,Share2
15-Sep-16,82.8,Share2
16-Sep-16,81.7,Share2
19-Sep-16,81.5,Share2
20-Sep-16,84.9,Share2
21-Sep-16,84.0,Share2
22-Sep-16,84.0,Share2
23-Sep-16,83.8,Share2
26-Sep-16,82.45,Share2
27-Sep-16,82.3,Share2
28-Sep-16,81.7,Share2
29-Sep-16,82.5,Share2
30-Sep-16,76.45,Share2
3-Oct-16,79.15,Share2
4-Oct-16,83.25,Share2
5-Oct-16,81.0,Share2
6-Oct-16,82.0,Share2
7-Oct-16,81.2,Share2
10-Oct-16,81.85,Share2
13-Oct-16,80.45,Share2
14-Oct-16,79.45,Share2
17-Oct-16,80.7,Share2
18-Oct-16,82.4,Share2
19-Oct-16,84.4,Share2
20-Oct-16,84.7,Share2
21-Oct-16,86.45,Share2
24-Oct-16,87.4,Share2
25-Oct-16,88.0,Share2
26-Oct-16,87.35,Share2
27-Oct-16,86.6,Share2
28-Oct-16,85.0,Share2
30-Oct-16,90.65,Share2
1-Nov-16,91.5,Share2
2-Nov-16,89.0,Share2
3-Nov-16,89.85,Share2
4-Nov-16,91.95,Share2
7-Nov-16,91.9,Share2
8-Nov-16,89.5,Share2
9-Nov-16,83.55,Share2
10-Nov-16,92.2,Share2
11-Nov-16,88.5,Share2
15-Nov-16,87.35,Share2
16-Nov-16,83.8,Share2
17-Nov-16,79.0,Share2
18-Nov-16,79.3,Share2
21-Nov-16,80.5,Share2
22-Nov-16,76.7,Share2
23-Nov-16,76.2,Share2
24-Nov-16,77.5,Share2
25-Nov-16,76.4,Share2
28-Nov-16,77.85,Share2
29-Nov-16,78.6,Share2
30-Nov-16,80.1,Share2
1-Dec-16,80.0,Share2
2-Dec-16,77.65,Share2
5-Dec-16,75.55,Share2
6-Dec-16,77.7,Share2
7-Dec-16,78.15,Share2
8-Dec-16,77.3,Share2
9-Dec-16,78.0,Share2
12-Dec-16,79.0,Share2
13-Dec-16,79.8,Share2
14-Dec-16,78.0,Share2
15-Dec-16,76.05,Share2
16-Dec-16,78.25,Share2
19-Dec-16,77.9,Share2
20-Dec-16,79.35,Share2
21-Dec-16,77.5,Share2
22-Dec-16,77.85,Share2
23-Dec-16,77.2,Share2
26-Dec-16,77.8,Share2
27-Dec-16,76.5,Share2
28-Dec-16,78.5,Share2
29-Dec-16,77.25,Share2
30-Dec-16,79.9,Share2
2-Jan-17,80.5,Share2
3-Jan-17,81.4,Share2
4-Jan-17,81.5,Share2
5-Jan-17,84.65,Share2
6-Jan-17,84.2,Share2
9-Jan-17,85.85,Share2
10-Jan-17,85.2,Share2
11-Jan-17,85.0,Share2
12-Jan-17,85.5,Share2
13-Jan-17,84.3,Share2
16-Jan-17,84.1,Share2
17-Jan-17,86.0,Share2
18-Jan-17,85.9,Share2
19-Jan-17,86.9,Share2
20-Jan-17,86.7,Share2
23-Jan-17,86.15,Share2
24-Jan-17,86.35,Share2
25-Jan-17,89.0,Share2
27-Jan-17,86.6,Share2
30-Jan-17,91.75,Share2
31-Jan-17,91.75,Share2
1-Feb-17,91.6,Share2
2-Feb-17,93.0,Share2
3-Feb-17,95.0,Share2
6-Feb-17,94.5,Share2
7-Feb-17,95.0,Share2
8-Feb-17,95.3,Share2
9-Feb-17,96.2,Share2
10-Feb-17,95.7,Share2
13-Feb-17,93.35,Share2
14-Feb-17,91.9,Share2
15-Feb-17,92.45,Share2
16-Feb-17,93.5,Share2
17-Feb-17,94.25,Share2
20-Feb-17,93.9,Share2
21-Feb-17,94.8,Share2
22-Feb-17,95.15,Share2
23-Feb-17,92.5,Share2
27-Feb-17,91.0,Share2
28-Feb-17,89.5,Share2
1-Mar-17,91.45,Share2
2-Mar-17,89.7,Share2
3-Mar-17,87.65,Share2
6-Mar-17,88.0,Share2
7-Mar-17,92.0,Share2
8-Mar-17,91.8,Share2
9-Mar-17,90.35,Share2
10-Mar-17,91.05,Share2
14-Mar-17,93.0,Share2
15-Mar-17,90.6,Share2
16-Mar-17,92.0,Share2
17-Mar-17,92.15,Share2
20-Mar-17,90.9,Share2
21-Mar-17,89.2,Share2
22-Mar-17,88.0,Share2
23-Mar-17,87.1,Share2
24-Mar-17,87.5,Share2
27-Mar-17,87.1,Share2
28-Mar-17,86.75,Share2
29-Mar-17,86.8,Share2
30-Mar-17,83.5,Share2
31-Mar-17,83.8,Share2
3-Apr-17,85.0,Share2
5-Apr-17,85.55,Share2
6-Apr-17,84.9,Share2
7-Apr-17,84.3,Share2
10-Apr-17,84.2,Share2
11-Apr-17,82.75,Share2
12-Apr-17,82.9,Share2
13-Apr-17,82.95,Share2
17-Apr-17,83.7,Share2
18-Apr-17,83.0,Share2
19-Apr-17,82.0,Share2
20-Apr-17,81.5,Share2
21-Apr-17,82.2,Share2
24-Apr-17,86.4,Share2
25-Apr-17,87.85,Share2
26-Apr-17,88.5,Share2
27-Apr-17,87.5,Share2
28-Apr-17,87.0,Share2
30-Apr-15,1259.5,Share3
4-May-15,1158.05,Share3
5-May-15,1159.25,Share3
6-May-15,1162.85,Share3
7-May-15,1115.0,Share3
8-May-15,1123.25,Share3
11-May-15,1164.05,Share3
12-May-15,1199.85,Share3
13-May-15,1152.05,Share3
14-May-15,1148.4,Share3
15-May-15,1172.5,Share3
18-May-15,1161.05,Share3
19-May-15,1168.85,Share3
20-May-15,1162.0,Share3
21-May-15,1190.0,Share3
22-May-15,1180.85,Share3
25-May-15,1190.0,Share3
26-May-15,1156.05,Share3
27-May-15,1189.0,Share3
28-May-15,1155.65,Share3
29-May-15,1152.05,Share3
1-Jun-15,1168.85,Share3
2-Jun-15,1189.45,Share3
3-Jun-15,1191.95,Share3
4-Jun-15,1150.75,Share3
5-Jun-15,1149.65,Share3
8-Jun-15,1185.0,Share3
9-Jun-15,1155.65,Share3
10-Jun-15,1140.0,Share3
11-Jun-15,1128.05,Share3
12-Jun-15,1110.0,Share3
15-Jun-15,1118.0,Share3
16-Jun-15,1122.35,Share3
